       sl1_layer1_s6  |          region1_s6  |Region 0, Super Layer 1, layer 1, Sector 6  |                 -2.5084*cm -5.71089*cm -8.3906*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer2_s1  |          region1_s1  |Region 0, Super Layer 1, layer 2, Sector 1  |                 -2.50473*cm -6.38388*cm -7.232*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s2  |          region1_s2  |Region 0, Super Layer 1, layer 2, Sector 2  |                 -2.50473*cm -6.38388*cm -7.232*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s3  |          region1_s3  |Region 0, Super Layer 1, layer 2, Sector 3  |                 -2.50473*cm -6.38388*cm -7.232*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s4  |          region1_s4  |Region 0, Super Layer 1, layer 2, Sector 4  |                 -2.50473*cm -6.38388*cm -7.232*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s5  |          region1_s5  |Region 0, Super Layer 1, layer 2, Sector 5  |                 -2.50473*cm -6.38388*cm -7.232*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s6  |          region1_s6  |Region 0, Super Layer 1, layer 2, Sector 6  |                 -2.50473*cm -6.38388*cm -7.232*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg 75.5877*cm 7.43037*cm 86.0324*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer3_s1  |          region1_s1  |Region 0, Super Layer 1, layer 3, Sector 1  |                -2.53834*cm -5.70775*cm -6.0734*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 8.05753*cm 86.6595*cm -7.58295*deg 75.5877*cm 8.05753*cm 86.6595*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s2  |          region1_s2  |Region 0, Super Layer 1, layer 3, Sector 2  |                -2.53834*cm -5.70775*cm -6.0734*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 8.05753*cm 86.6595*cm -7.58295*deg 75.5877*cm 8.05753*cm 86.6595*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s3  |          region1_s3  |Region 0, Super Layer 1, layer 3, Sector 3  |                -2.53834*cm -5.70775*cm -6.0734*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 8.05753*cm 86.6595*cm -7.58295*deg 75.5877*cm 8.05753*cm 86.6595*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 3 wire manual 1 
