       sl1_layer2_s5  |          region1_s5  |Region 1, Super Layer 1, layer 2, Sector 5  |                -2.5047*cm  -6.3839*cm  -7.2320*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s6  |          region1_s6  |Region 1, Super Layer 1, layer 2, Sector 6  |                -2.5047*cm  -6.3839*cm  -7.2320*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg     75.5877*cm      7.4304*cm     86.0324*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer3_s1  |          region1_s1  |Region 1, Super Layer 1, layer 3, Sector 1  |                -2.5383*cm  -5.7077*cm  -6.0734*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s2  |          region1_s2  |Region 1, Super Layer 1, layer 3, Sector 2  |                -2.5383*cm  -5.7077*cm  -6.0734*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s3  |          region1_s3  |Region 1, Super Layer 1, layer 3, Sector 3  |                -2.5383*cm  -5.7077*cm  -6.0734*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s4  |          region1_s4  |Region 1, Super Layer 1, layer 3, Sector 4  |                -2.5383*cm  -5.7077*cm  -6.0734*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s5  |          region1_s5  |Region 1, Super Layer 1, layer 3, Sector 5  |                -2.5383*cm  -5.7077*cm  -6.0734*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s6  |          region1_s6  |Region 1, Super Layer 1, layer 3, Sector 6  |                -2.5383*cm  -5.7077*cm  -6.0734*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg     75.5877*cm      8.0575*cm     86.6595*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer4_s1  |          region1_s1  |Region 1, Super Layer 1, layer 4, Sector 1  |                -2.5347*cm  -6.3807*cm  -4.9148*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s2  |          region1_s2  |Region 1, Super Layer 1, layer 4, Sector 2  |                -2.5347*cm  -6.3807*cm  -4.9148*cm  |ordered: yxz    0.0000*deg    0.0000*deg    6.0000*deg  |99aaff2   |              G4Trap  |0.5693*cm    -25.0000*deg     90.0000*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg     75.5877*cm      7.9891*cm     86.5911*cm     -7.5830*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 4 wire manual 1 
