      FMT_Drift_PCB1  |                 FMT  |           Drift PCB, Layer 1,  |                              0*mm 0*mm -29.419*mm  |                       0*deg 0*deg 0*deg  | 0000ff   |                Tube  |                 25.000*mm 204.000*mm 0.025*mm 0*deg 360*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
FMT_Drift_Cu_Ground1  |                 FMT  |     Drift Cu Ground, Layer 1,  |                             0*mm 0*mm -29.3895*mm  |                       0*deg 0*deg 0*deg  | 666600   |                Tube  |                25.000*mm 204.000*mm 0.0045*mm 0*deg 360*deg  |myfmtSlimGroundDrift  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_1_1  |                 FMT  |    HVcover1, Layer1, Element1  |                              0*mm 0*mm -27.535*mm  |                     0*deg 0*deg -60*deg  | 6c2d58   |                Tube  |                200*mm 224.8*mm 0.5*mm -13.755*deg 27.51*deg  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_1_2  |                 FMT  |    HVcover1, Layer1, Element2  |                              0*mm 0*mm -31.285*mm  |                     0*deg 0*deg -60*deg  | 6c2d58   |                Tube  |               204*mm 223.8*mm 3.25*mm -13.755*deg 0.255*deg  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_1_3  |                 FMT  |    HVcover1, Layer1, Element3  |                              0*mm 0*mm -31.285*mm  |                     0*deg 0*deg -60*deg  | 6c2d58   |                Tube  |                  204*mm 223.8*mm 3.25*mm 13.5*deg 0.255*deg  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_1_4  |                 FMT  |    HVcover1, Layer1, Element4  |                              0*mm 0*mm -31.285*mm  |                     0*deg 0*deg -60*deg  | 6c2d58   |                Tube  |             223.8*mm 224.8*mm 3.25*mm -13.755*deg 27.51*deg  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_2_1  |                 FMT  |    HVcover2, Layer1, Element1  |                              0*mm 0*mm -27.535*mm  |                    0*deg 0*deg -240*deg  | 6c2d58   |                Tube  |                200*mm 224.8*mm 0.5*mm -13.755*deg 27.51*deg  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_2_2  |                 FMT  |    HVcover2, Layer1, Element2  |                              0*mm 0*mm -31.285*mm  |                    0*deg 0*deg -240*deg  | 6c2d58   |                Tube  |               204*mm 223.8*mm 3.25*mm -13.755*deg 0.255*deg  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_2_3  |                 FMT  |    HVcover2, Layer1, Element3  |                              0*mm 0*mm -31.285*mm  |                    0*deg 0*deg -240*deg  | 6c2d58   |                Tube  |                  204*mm 223.8*mm 3.25*mm 13.5*deg 0.255*deg  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_2_4  |                 FMT  |    HVcover2, Layer1, Element4  |                              0*mm 0*mm -31.285*mm  |                    0*deg 0*deg -240*deg  | 6c2d58   |                Tube  |             223.8*mm 224.8*mm 3.25*mm -13.755*deg 27.51*deg  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
