       sl1_layer3_s3  |          region1_s3  |Region 1, Super Layer 1, layer 3, Sector 3  |           -2.4873708*cm -5.2047003*cm -6.07355*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s4  |          region1_s4  |Region 1, Super Layer 1, layer 3, Sector 4  |           -2.4873708*cm -5.2047003*cm -6.07355*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s5  |          region1_s5  |Region 1, Super Layer 1, layer 3, Sector 5  |           -2.4873708*cm -5.2047003*cm -6.07355*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s6  |          region1_s6  |Region 1, Super Layer 1, layer 3, Sector 6  |           -2.4873708*cm -5.2047003*cm -6.07355*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad 75.5799076*cm 7.1105681*cm 85.7044375*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer4_s1  |          region1_s1  |Region 1, Super Layer 1, layer 4, Sector 1  |           -2.4837033*cm -5.8776187*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s2  |          region1_s2  |Region 1, Super Layer 1, layer 4, Sector 2  |           -2.4837033*cm -5.8776187*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s3  |          region1_s3  |Region 1, Super Layer 1, layer 4, Sector 3  |           -2.4837033*cm -5.8776187*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s4  |          region1_s4  |Region 1, Super Layer 1, layer 4, Sector 4  |           -2.4837033*cm -5.8776187*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s5  |          region1_s5  |Region 1, Super Layer 1, layer 4, Sector 5  |           -2.4837033*cm -5.8776187*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s6  |          region1_s6  |Region 1, Super Layer 1, layer 4, Sector 6  |           -2.4837033*cm -5.8776187*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad 75.5799076*cm 7.0421441*cm 85.6360135*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 4 wire manual 1 
