       sl1_layer2_s3  |          region1_s3  |Region 0, Super Layer 1, layer 2, Sector 3  |                  2.49105*cm 2.9418*cm -7.23203*cm  |                      0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |0.56924*cm -25*deg 90*deg 75.5799*cm 7.17919*cm 85.7731*cm 7.58295*deg 75.5799*cm 7.17919*cm 85.7731*cm 7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s4  |          region1_s4  |Region 0, Super Layer 1, layer 2, Sector 4  |                  2.49105*cm 2.9418*cm -7.23203*cm  |                      0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |0.56924*cm -25*deg 90*deg 75.5799*cm 7.17919*cm 85.7731*cm 7.58295*deg 75.5799*cm 7.17919*cm 85.7731*cm 7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s5  |          region1_s5  |Region 0, Super Layer 1, layer 2, Sector 5  |                  2.49105*cm 2.9418*cm -7.23203*cm  |                      0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |0.56924*cm -25*deg 90*deg 75.5799*cm 7.17919*cm 85.7731*cm 7.58295*deg 75.5799*cm 7.17919*cm 85.7731*cm 7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer2_s6  |          region1_s6  |Region 0, Super Layer 1, layer 2, Sector 6  |                  2.49105*cm 2.9418*cm -7.23203*cm  |                      0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |0.56924*cm -25*deg 90*deg 75.5799*cm 7.17919*cm 85.7731*cm 7.58295*deg 75.5799*cm 7.17919*cm 85.7731*cm 7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer3_s1  |          region1_s1  |Region 0, Super Layer 1, layer 3, Sector 1  |                 2.52466*cm 3.61786*cm -6.07355*cm  |                      0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |0.56924*cm -25*deg 90*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s2  |          region1_s2  |Region 0, Super Layer 1, layer 3, Sector 2  |                 2.52466*cm 3.61786*cm -6.07355*cm  |                      0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |0.56924*cm -25*deg 90*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s3  |          region1_s3  |Region 0, Super Layer 1, layer 3, Sector 3  |                 2.52466*cm 3.61786*cm -6.07355*cm  |                      0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |0.56924*cm -25*deg 90*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s4  |          region1_s4  |Region 0, Super Layer 1, layer 3, Sector 4  |                 2.52466*cm 3.61786*cm -6.07355*cm  |                      0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |0.56924*cm -25*deg 90*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s5  |          region1_s5  |Region 0, Super Layer 1, layer 3, Sector 5  |                 2.52466*cm 3.61786*cm -6.07355*cm  |                      0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |0.56924*cm -25*deg 90*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s6  |          region1_s6  |Region 0, Super Layer 1, layer 3, Sector 6  |                 2.52466*cm 3.61786*cm -6.07355*cm  |                      0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |0.56924*cm -25*deg 90*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg 75.5799*cm 7.80628*cm 86.4002*cm 7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 3 wire manual 1 
