region_uRwell_1_s1 |       fc | 85.9825035*cm 0*cm 209.3551733*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 0.6376*cm -0.4363323*rad 1.5707963*rad 74.105*cm 5.697*cm 81.2137669*cm 0*rad 74.105*cm 5.697*cm 81.2137669*cm 0*rad  |    1   1   0   0
rg1_s1_c3_capa_sharing_layer2_kapton | rg1_s1_c3 | 0*cm -0.0868032*cm 0.18615*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad  | 
rg1_s1_c3_readout1_glue | rg1_s1_c3 | 0*cm -0.0880855*cm 0.1889*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad  | 
rg1_s1_c3_readout1_Cu | rg1_s1_c3 | 0*cm -0.0893679*cm 0.19165*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad  | 
rg1_s1_c3_readout1_kapton | rg1_s1_c3 | 0*cm -0.0906502*cm 0.1944*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad  | 
rg1_s1_c3_readout2_glue | rg1_s1_c3 | 0*cm -0.0929817*cm 0.1994*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad  | 
rg1_s1_c3_readout2_Cu | rg1_s1_c3 | 0*cm -0.0942641*cm 0.20215*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad  | 
rg1_s1_c3_readout2_kapton | rg1_s1_c3 | 0*cm -0.0955464*cm 0.2049*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad  | 
rg1_s1_c3_readout3_glue | rg1_s1_c3 | 0*cm -0.097878*cm 0.2099*cm | 0 0 0 |   G4Trap | 0.0025*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad  | 
rg1_s1_c3_support_skin1_g10 | rg1_s1_c3 | 0*cm -0.1020048*cm 0.21875*cm | 0 0 0 |   G4Trap | 0.00635*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad  | 
rg1_s1_c3_support_honeycomb_nomex | rg1_s1_c3 | 0*cm -0.174912*cm 0.3751*cm | 0 0 0 |   G4Trap | 0.15*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad  | 
rg1_s1_c3_support_skin2_g10 | rg1_s1_c3 | 0*cm -0.2477726*cm 0.53135*cm | 0 0 0 |   G4Trap | 0.00625*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad 24.3683333*cm 54.862144*cm 79.694716*cm 0*rad  | 
region_uRwell_1_s2 |       fc | 42.9912517*cm 74.4630323*cm 209.3551733*cm | ordered: zxy 30*deg 25*deg 0*deg |   G4Trap | 0.6376*cm -0.4363323*rad 1.5707963*rad 74.105*cm 5.697*cm 81.2137669*cm 0*rad 74.105*cm 5.697*cm 81.2137669*cm 0*rad  |    2   1   0   0
         rg1_s2_c1 | region_uRwell_1_s2 | 0*cm -48.6866667*cm 0*cm | 0 0 0 |   G4Trap | 0.5876*cm -0.4363323*rad 1.5707963*rad 24.4183333*cm 5.297*cm 30.129572*cm 0*rad 24.4183333*cm 5.297*cm 30.129572*cm 0*rad  |    2   1   1   0
rg1_s2_c1_window_kapton | rg1_s2_c1 | 0*cm 0.2501041*cm -0.53635*cm | 0 0 0 |   G4Trap | 0.00125*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 5.197*cm 30.029572*cm 0*rad 24.3683333*cm 5.197*cm 30.029572*cm 0*rad  | 
rg1_s2_c1_window_Al | rg1_s2_c1 | 0*cm 0.2494047*cm -0.53485*cm | 0 0 0 |   G4Trap | 0.00025*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 5.197*cm 30.029572*cm 0*rad 24.3683333*cm 5.197*cm 30.029572*cm 0*rad  | 
rg1_s2_c1_window_gas | rg1_s2_c1 | 0*cm 0.1793419*cm -0.3846*cm | 0 0 0 |   G4Trap | 0.15*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 5.197*cm 30.029572*cm 0*rad 24.3683333*cm 5.197*cm 30.029572*cm 0*rad  | 
rg1_s2_c1_cathode_kapton | rg1_s2_c1 | 0*cm 0.1088129*cm -0.23335*cm | 0 0 0 |   G4Trap | 0.00125*cm -0.4363323*rad 1.5707963*rad 24.3683333*cm 5.197*cm 30.029572*cm 0*rad 24.3683333*cm 5.197*cm 30.029572*cm 0*rad  | 
