pmt_light_stopper_s2left_1  |        pmt_s2left_1  |      PMT light stopper left 1  |                                             0 0 0  |                                   0 0 0  | 558844   |                Tube  |                           0*cm 5.49*cm 0.5*cm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       cone_s2left_1  |              ltccS2  |                   cone left 1  |                  -9.5397*cm 51.2011*cm 441.615*cm  |             7.72*deg 30.8*deg -30.8*deg  | aa9999   |         CopyOf WC_S  |                                                           0  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   | mirror: ltcc_AlMgF2  |              mirror  |                                      no 
    shield_s2right_1  |              ltccS2  |                shield right 1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                       7.395*cm 7.7*cm 11*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
subtraction_shield_s2right_1  |              ltccS2  |    Subtraction shield right 1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                     7.295*cm 7.6*cm 11.1*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
final_shield_s2right1  |              ltccS2  |       combined shield right 1  |                  12.9616*cm 61.0313*cm 450.214*cm  |             7.72*deg -30.8*deg 30.8*deg  | 202020   |Operation:  shield_s2right_1 - subtraction_shield_s2right_1  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     shield_s2left_1  |              ltccS2  |                 shield left 1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                       7.395*cm 7.7*cm 11*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
subtraction_shield_s2left_1  |              ltccS2  |     Subtraction shield left 1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                     7.295*cm 7.6*cm 11.1*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
final_shield_s2left_1  |              ltccS2  |        combined shield left 1  |                 -12.9616*cm 61.0313*cm 450.214*cm  |             7.72*deg 30.8*deg -30.8*deg  | 202020   |Operation:  shield_s2left_1 - subtraction_shield_s2left_1  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
cyl_mirrors_s2right_1  |              ltccS2  |           cyl mirrors right 1  |                 6.40228*cm  59.5532*cm  439.31*cm  |             -172.28*deg 30.8*deg 20*deg  | aaffff   |                Tube  |                          6.2*cm 6.3*cm 3*cm 0*deg 120.8*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   | mirror: ltcc_AlMgF2  |              mirror  |                                      no 
cyl_mirrors_s2left_1  |              ltccS2  |            cyl mirrors left 1  |                  -6.40228*cm 59.5532*cm 439.31*cm  |           -172.28*deg -30.8*deg -85*deg  | aaffff   |                Tube  |                          6.2*cm 6.3*cm 3*cm 0*deg 120.8*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   | mirror: ltcc_AlMgF2  |              mirror  |                                      no 
