lead_05_s1_view_2_stack_1  |               ec_s1  |Forward Calorimeter lead layer 5  |                   0*mm 0.34220005*mm -191.9055*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1882.4753999*mm 5.1196723452699e-08*mm  1927.53144920618*mm  0*deg  1882.4753999*mm 5.1196723452699e-08*mm  1927.53144920618*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_05_s1_view_2_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 5  |                        0*mm 0.3422*mm -185.715*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1882.4754*mm 0.001*mm  1927.53144920618*mm  0*deg  1882.4754*mm 0.001*mm  1927.53144920618*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 2 strip manual 36 
lead_06_s1_view_3_stack_1  |               ec_s1  |Forward Calorimeter lead layer 6  |                    0*mm 0.4277505*mm -179.5245*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1886.931749*mm 5.1196723452699e-07*mm  1932.09445957735*mm  0*deg  1886.931749*mm 5.1196723452699e-07*mm  1932.09445957735*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_06_s1_view_3_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 6  |                       0*mm 0.42775*mm -173.334*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1886.93175*mm 0.001*mm  1932.09445957735*mm  0*deg  1886.93175*mm 0.001*mm  1932.09445957735*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 3 strip manual 36 
lead_07_s1_view_1_stack_1  |               ec_s1  |Forward Calorimeter lead layer 7  |                       0*mm 1.2373*mm -167.1435*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1889.9401*mm 0.741328555595082*mm  1936.65746994852*mm  0*deg  1889.9401*mm 0.741328555595082*mm  1936.65746994852*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_07_s1_view_1_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 7  |                        0*mm 0.5133*mm -160.953*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1891.3881*mm 0.001*mm  1936.65746994852*mm  0*deg  1891.3881*mm 0.001*mm  1936.65746994852*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 1 strip manual 36 
lead_08_s1_view_2_stack_1  |               ec_s1  |Forward Calorimeter lead layer 8  |                    0*mm 0.5988505*mm -154.7625*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1895.844449*mm 5.1196723452699e-07*mm  1941.22048031969*mm  0*deg  1895.844449*mm 5.1196723452699e-07*mm  1941.22048031969*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_08_s1_view_2_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 8  |                       0*mm 0.59885*mm -148.572*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1895.84445*mm 0.001*mm  1941.22048031969*mm  0*deg  1895.84445*mm 0.001*mm  1941.22048031969*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 2 strip manual 36 
lead_09_s1_view_3_stack_1  |               ec_s1  |Forward Calorimeter lead layer 9  |                    0*mm 0.6844005*mm -142.3815*mm  |                       0*deg 0*deg 0*deg  | 7CFC00   |              G4Trap  |1.1905*mm 0*deg 0*deg  1900.300799*mm 5.1196723452699e-07*mm  1945.78349069085*mm  0*deg  1900.300799*mm 5.1196723452699e-07*mm  1945.78349069085*mm  0*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
scint_09_s1_view_3_stack_1  |               ec_s1  |Forward Calorimeter scintillator layer 9  |                        0*mm 0.6844*mm -136.191*mm  |                       0*deg 0*deg 0*deg  | 0147FA   |              G4Trap  |5*mm 0*deg 0*deg  1900.3008*mm 0.001*mm  1945.78349069085*mm  0*deg  1900.3008*mm 0.001*mm  1945.78349069085*mm  0*deg  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                  ec  |                  ec  |sector manual 1 stack manual 1 view manual 3 strip manual 36 
