             ec_s1 |       fc | 232.626345*cm 0.000000*cm 723.866183*cm | ordered: zxy 90.0*deg 25.0*deg 0.0*deg |   G4Trap | 26.7767*cm 0.0*rad 0.0*rad 204.35336*cm 1.0E-6*cm 209.32463509128354*cm 0.0*rad 204.35336*cm 1.0E-6*cm 209.32463509128354*cm 0.0*rad  | 
W_strip_6_23_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 4.474117*cm -43.021261*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 135.48615437427176*cm 129.59545203696274*cm -0.103625284124869*rad 4.78014*cm 135.48615437427176*cm 129.59545203696274*cm -0.103625284124869*rad  | 
W_strip_6_24_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 5.468365*cm -52.581541*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 141.37685671158079*cm 135.48615437427176*cm -0.103625284124869*rad 4.78014*cm 141.37685671158079*cm 135.48615437427176*cm -0.103625284124869*rad  | 
W_strip_6_25_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 6.462613*cm -62.141821*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 147.2675590488898*cm 141.37685671158079*cm -0.103625284124869*rad 4.78014*cm 147.2675590488898*cm 141.37685671158079*cm -0.103625284124869*rad  | 
W_strip_6_26_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 7.456861*cm -71.702101*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 153.15826138619883*cm 147.2675590488898*cm -0.103625284124869*rad 4.78014*cm 153.15826138619883*cm 147.2675590488898*cm -0.103625284124869*rad  | 
W_strip_6_27_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 8.451109*cm -81.262381*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 159.04896372350785*cm 153.15826138619883*cm -0.103625284124869*rad 4.78014*cm 159.04896372350785*cm 153.15826138619883*cm -0.103625284124869*rad  | 
W_strip_6_28_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 9.445357*cm -90.822661*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 164.93966606081685*cm 159.04896372350785*cm -0.103625284124869*rad 4.78014*cm 164.93966606081685*cm 159.04896372350785*cm -0.103625284124869*rad  | 
W_strip_6_29_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 10.439605*cm -100.382941*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 170.83036839812587*cm 164.93966606081685*cm -0.103625284124869*rad 4.78014*cm 170.83036839812587*cm 164.93966606081685*cm -0.103625284124869*rad  | 
W_strip_6_30_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 11.433853*cm -109.943221*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 176.72107073543486*cm 170.83036839812587*cm -0.103625284124869*rad 4.78014*cm 176.72107073543486*cm 170.83036839812587*cm -0.103625284124869*rad  | 
W_strip_6_31_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 12.428101*cm -119.503501*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 182.6117730727439*cm 176.72107073543486*cm -0.103625284124869*rad 4.78014*cm 182.6117730727439*cm 176.72107073543486*cm -0.103625284124869*rad  | 
W_strip_6_32_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 13.422349*cm -129.063781*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 188.50247541005288*cm 182.6117730727439*cm -0.103625284124869*rad 4.78014*cm 188.50247541005288*cm 182.6117730727439*cm -0.103625284124869*rad  | 
W_strip_6_33_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 14.416597*cm -138.624061*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 194.3931777473619*cm 188.50247541005288*cm -0.103625284124869*rad 4.78014*cm 194.3931777473619*cm 188.50247541005288*cm -0.103625284124869*rad  | 
W_strip_6_34_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 15.410846*cm -148.184341*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 200.2838800846709*cm 194.3931777473619*cm -0.103625284124869*rad 4.78014*cm 200.2838800846709*cm 194.3931777473619*cm -0.103625284124869*rad  | 
W_strip_6_35_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 16.405094*cm -157.744621*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 206.17458242197992*cm 200.2838800846709*cm -0.103625284124869*rad 4.78014*cm 206.17458242197992*cm 200.2838800846709*cm -0.103625284124869*rad  | 
W_strip_6_36_s4_stack_1 | W-scintillator_6_s4_view_3_stack_1 | 17.399342*cm -167.304901*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.78014*cm 212.06528475928891*cm 206.17458242197992*cm -0.103625284124869*rad 4.78014*cm 212.06528475928891*cm 206.17458242197992*cm -0.103625284124869*rad  | 
lead_7_s4_view_1_stack_1 |    ec_s4 | 0.000000*cm 0.051360*cm -14.018150*cm | 0 0 0 |   G4Trap | 0.11904999999999999*cm 0.0*rad 0.0*rad 189.262081*cm 1.0E-6*cm 193.86735948881088*cm 0.0*rad 189.262081*cm 1.0E-6*cm 193.86735948881088*cm 0.0*rad  | 
U-scintillator_7_s4_view_1_stack_1 |    ec_s4 | 0.000000*cm 0.051360*cm -13.399000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 189.262081*cm 1.0E-6*cm 193.86735948881088*cm 0.0*rad 189.262081*cm 1.0E-6*cm 193.86735948881088*cm 0.0*rad  | 
U_strip_7_1_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -184.004799*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 5.121664056119378E-7*cm 5.3852049139574625*cm 0.0*rad 5.25728*cm 5.121664056119378E-7*cm 5.3852049139574625*cm 0.0*rad  | 
U_strip_7_2_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -173.490239*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 5.3852049139574625*cm 10.770409315748518*cm 0.0*rad 5.25728*cm 5.3852049139574625*cm 10.770409315748518*cm 0.0*rad  | 
U_strip_7_3_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -162.975679*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 10.770409315748518*cm 16.155613717539577*cm 0.0*rad 5.25728*cm 10.770409315748518*cm 16.155613717539577*cm 0.0*rad  | 
U_strip_7_4_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -152.461119*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 16.155613717539577*cm 21.54081811933063*cm 0.0*rad 5.25728*cm 16.155613717539577*cm 21.54081811933063*cm 0.0*rad  | 
U_strip_7_5_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -141.946559*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 21.54081811933063*cm 26.92602252112169*cm 0.0*rad 5.25728*cm 21.54081811933063*cm 26.92602252112169*cm 0.0*rad  | 
U_strip_7_6_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -131.431999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 26.92602252112169*cm 32.31122692291275*cm 0.0*rad 5.25728*cm 26.92602252112169*cm 32.31122692291275*cm 0.0*rad  | 
U_strip_7_7_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -120.917439*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 32.31122692291275*cm 37.69643132470381*cm 0.0*rad 5.25728*cm 32.31122692291275*cm 37.69643132470381*cm 0.0*rad  | 
U_strip_7_8_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -110.402879*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 37.69643132470381*cm 43.081635726494866*cm 0.0*rad 5.25728*cm 37.69643132470381*cm 43.081635726494866*cm 0.0*rad  | 
U_strip_7_9_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -99.888319*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 43.081635726494866*cm 48.466840128285924*cm 0.0*rad 5.25728*cm 43.081635726494866*cm 48.466840128285924*cm 0.0*rad  | 
U_strip_7_10_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -89.373759*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 48.466840128285924*cm 53.85204453007699*cm 0.0*rad 5.25728*cm 48.466840128285924*cm 53.85204453007699*cm 0.0*rad  | 
U_strip_7_11_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -78.859199*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 53.85204453007699*cm 59.237248931868045*cm 0.0*rad 5.25728*cm 53.85204453007699*cm 59.237248931868045*cm 0.0*rad  | 
U_strip_7_12_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -68.344639*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 59.237248931868045*cm 64.62245333365911*cm 0.0*rad 5.25728*cm 59.237248931868045*cm 64.62245333365911*cm 0.0*rad  | 
U_strip_7_13_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -57.830079*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 64.62245333365911*cm 70.00765773545017*cm 0.0*rad 5.25728*cm 64.62245333365911*cm 70.00765773545017*cm 0.0*rad  | 
U_strip_7_14_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -47.315519*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 70.00765773545017*cm 75.39286213724121*cm 0.0*rad 5.25728*cm 70.00765773545017*cm 75.39286213724121*cm 0.0*rad  | 
U_strip_7_15_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -36.800959*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 75.39286213724121*cm 80.77806653903227*cm 0.0*rad 5.25728*cm 75.39286213724121*cm 80.77806653903227*cm 0.0*rad  | 
U_strip_7_16_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -26.286399*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 80.77806653903227*cm 86.16327094082331*cm 0.0*rad 5.25728*cm 80.77806653903227*cm 86.16327094082331*cm 0.0*rad  | 
U_strip_7_17_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -15.771839*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 86.16327094082331*cm 91.54847534261437*cm 0.0*rad 5.25728*cm 86.16327094082331*cm 91.54847534261437*cm 0.0*rad  | 
U_strip_7_18_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm -5.257279*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 91.54847534261437*cm 96.93367974440542*cm 0.0*rad 5.25728*cm 91.54847534261437*cm 96.93367974440542*cm 0.0*rad  | 
U_strip_7_19_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 5.257281*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 96.93367974440542*cm 102.31888414619647*cm 0.0*rad 5.25728*cm 96.93367974440542*cm 102.31888414619647*cm 0.0*rad  | 
U_strip_7_20_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 15.771841*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 102.31888414619647*cm 107.70408854798752*cm 0.0*rad 5.25728*cm 102.31888414619647*cm 107.70408854798752*cm 0.0*rad  | 
U_strip_7_21_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 26.286401*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 107.70408854798752*cm 113.08929294977857*cm 0.0*rad 5.25728*cm 107.70408854798752*cm 113.08929294977857*cm 0.0*rad  | 
U_strip_7_22_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 36.800961*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 113.08929294977857*cm 118.47449735156962*cm 0.0*rad 5.25728*cm 113.08929294977857*cm 118.47449735156962*cm 0.0*rad  | 
U_strip_7_23_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 47.315521*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 118.47449735156962*cm 123.85970175336068*cm 0.0*rad 5.25728*cm 118.47449735156962*cm 123.85970175336068*cm 0.0*rad  | 
U_strip_7_24_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 57.830081*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 123.85970175336068*cm 129.24490615515174*cm 0.0*rad 5.25728*cm 123.85970175336068*cm 129.24490615515174*cm 0.0*rad  | 
U_strip_7_25_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 68.344641*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 129.24490615515174*cm 134.63011055694278*cm 0.0*rad 5.25728*cm 129.24490615515174*cm 134.63011055694278*cm 0.0*rad  | 
U_strip_7_26_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 78.859201*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 134.63011055694278*cm 140.01531495873385*cm 0.0*rad 5.25728*cm 134.63011055694278*cm 140.01531495873385*cm 0.0*rad  | 
U_strip_7_27_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 89.373761*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 140.01531495873385*cm 145.40051936052492*cm 0.0*rad 5.25728*cm 140.01531495873385*cm 145.40051936052492*cm 0.0*rad  | 
U_strip_7_28_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 99.888321*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 145.40051936052492*cm 150.785723762316*cm 0.0*rad 5.25728*cm 145.40051936052492*cm 150.785723762316*cm 0.0*rad  | 
U_strip_7_29_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 110.402881*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 150.785723762316*cm 156.17092816410707*cm 0.0*rad 5.25728*cm 150.785723762316*cm 156.17092816410707*cm 0.0*rad  | 
U_strip_7_30_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 120.917441*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 156.17092816410707*cm 161.5561325658981*cm 0.0*rad 5.25728*cm 156.17092816410707*cm 161.5561325658981*cm 0.0*rad  | 
U_strip_7_31_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 131.432001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 161.5561325658981*cm 166.94133696768918*cm 0.0*rad 5.25728*cm 161.5561325658981*cm 166.94133696768918*cm 0.0*rad  | 
U_strip_7_32_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 141.946561*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 166.94133696768918*cm 172.32654136948025*cm 0.0*rad 5.25728*cm 166.94133696768918*cm 172.32654136948025*cm 0.0*rad  | 
U_strip_7_33_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 152.461121*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 172.32654136948025*cm 177.71174577127132*cm 0.0*rad 5.25728*cm 172.32654136948025*cm 177.71174577127132*cm 0.0*rad  | 
U_strip_7_34_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 162.975681*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 177.71174577127132*cm 183.0969501730624*cm 0.0*rad 5.25728*cm 177.71174577127132*cm 183.0969501730624*cm 0.0*rad  | 
U_strip_7_35_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 173.490241*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 183.0969501730624*cm 188.48215457485347*cm 0.0*rad 5.25728*cm 183.0969501730624*cm 188.48215457485347*cm 0.0*rad  | 
U_strip_7_36_s4_stack_1 | U-scintillator_7_s4_view_1_stack_1 | 0.000000*cm 184.004801*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.25728*cm 188.48215457485347*cm 193.8673589766445*cm 0.0*rad 5.25728*cm 188.48215457485347*cm 193.8673589766445*cm 0.0*rad  | 
lead_8_s4_view_2_stack_1 |    ec_s4 | 0.000000*cm 0.059920*cm -12.779850*cm | 0 0 0 |   G4Trap | 0.11904999999999999*cm 0.0*rad 0.0*rad 189.64149220676046*cm 1.0E-6*cm 194.25600283684165*cm 0.0*rad 189.64149220676046*cm 1.0E-6*cm 194.25600283684165*cm 0.0*rad  | 
V-scintillator_8_s4_view_2_stack_1 |    ec_s4 | -48.564000*cm 94.880666*cm -12.160700*cm | 0.0*deg 180.0*deg 62.88000000000001*deg |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 172.898281*cm 213.06746413356348*cm 1.0E-6*cm -0.103625284124869*rad 172.898281*cm 213.06746413356348*cm 1.0E-6*cm -0.103625284124869*rad  | 
V_strip_8_1_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -17.481567*cm 168.095549*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 5.918541252309624*cm 6.161642062062013E-7*cm -0.103625284124869*rad 4.80273*cm 5.918541252309624*cm 6.161642062062013E-7*cm -0.103625284124869*rad  | 
V_strip_8_2_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -16.482621*cm 158.490089*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 11.837081888455042*cm 5.918541252309624*cm -0.103625284124869*rad 4.80273*cm 11.837081888455042*cm 5.918541252309624*cm -0.103625284124869*rad  | 
V_strip_8_3_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -15.483674*cm 148.884629*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 17.75562252460046*cm 11.837081888455042*cm -0.103625284124869*rad 4.80273*cm 17.75562252460046*cm 11.837081888455042*cm -0.103625284124869*rad  | 
V_strip_8_4_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -14.484727*cm 139.279169*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 23.67416316074588*cm 17.75562252460046*cm -0.103625284124869*rad 4.80273*cm 23.67416316074588*cm 17.75562252460046*cm -0.103625284124869*rad  | 
V_strip_8_5_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -13.485781*cm 129.673709*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 29.5927037968913*cm 23.67416316074588*cm -0.103625284124869*rad 4.80273*cm 29.5927037968913*cm 23.67416316074588*cm -0.103625284124869*rad  | 
V_strip_8_6_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -12.486834*cm 120.068249*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 35.511244433036715*cm 29.5927037968913*cm -0.103625284124869*rad 4.80273*cm 35.511244433036715*cm 29.5927037968913*cm -0.103625284124869*rad  | 
V_strip_8_7_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -11.487887*cm 110.462789*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 41.42978506918214*cm 35.511244433036715*cm -0.103625284124869*rad 4.80273*cm 41.42978506918214*cm 35.511244433036715*cm -0.103625284124869*rad  | 
V_strip_8_8_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -10.488940*cm 100.857329*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 47.348325705327554*cm 41.42978506918214*cm -0.103625284124869*rad 4.80273*cm 47.348325705327554*cm 41.42978506918214*cm -0.103625284124869*rad  | 
V_strip_8_9_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -9.489994*cm 91.251869*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 53.26686634147297*cm 47.348325705327554*cm -0.103625284124869*rad 4.80273*cm 53.26686634147297*cm 47.348325705327554*cm -0.103625284124869*rad  | 
V_strip_8_10_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -8.491047*cm 81.646409*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 59.185406977618385*cm 53.26686634147297*cm -0.103625284124869*rad 4.80273*cm 59.185406977618385*cm 53.26686634147297*cm -0.103625284124869*rad  | 
V_strip_8_11_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -7.492100*cm 72.040949*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 65.1039476137638*cm 59.185406977618385*cm -0.103625284124869*rad 4.80273*cm 65.1039476137638*cm 59.185406977618385*cm -0.103625284124869*rad  | 
V_strip_8_12_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -6.493154*cm 62.435489*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 71.02248824990922*cm 65.1039476137638*cm -0.103625284124869*rad 4.80273*cm 71.02248824990922*cm 65.1039476137638*cm -0.103625284124869*rad  | 
V_strip_8_13_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -5.494207*cm 52.830029*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 76.94102888605462*cm 71.02248824990922*cm -0.103625284124869*rad 4.80273*cm 76.94102888605462*cm 71.02248824990922*cm -0.103625284124869*rad  | 
V_strip_8_14_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -4.495260*cm 43.224569*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 82.85956952220005*cm 76.94102888605462*cm -0.103625284124869*rad 4.80273*cm 82.85956952220005*cm 76.94102888605462*cm -0.103625284124869*rad  | 
V_strip_8_15_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -3.496313*cm 33.619109*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 88.77811015834546*cm 82.85956952220005*cm -0.103625284124869*rad 4.80273*cm 88.77811015834546*cm 82.85956952220005*cm -0.103625284124869*rad  | 
V_strip_8_16_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -2.497367*cm 24.013649*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 94.69665079449086*cm 88.77811015834546*cm -0.103625284124869*rad 4.80273*cm 94.69665079449086*cm 88.77811015834546*cm -0.103625284124869*rad  | 
V_strip_8_17_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -1.498420*cm 14.408189*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 100.61519143063629*cm 94.69665079449086*cm -0.103625284124869*rad 4.80273*cm 100.61519143063629*cm 94.69665079449086*cm -0.103625284124869*rad  | 
V_strip_8_18_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | -0.499473*cm 4.802729*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 106.5337320667817*cm 100.61519143063629*cm -0.103625284124869*rad 4.80273*cm 106.5337320667817*cm 100.61519143063629*cm -0.103625284124869*rad  | 
V_strip_8_19_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | 0.499473*cm -4.802731*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 112.45227270292712*cm 106.5337320667817*cm -0.103625284124869*rad 4.80273*cm 112.45227270292712*cm 106.5337320667817*cm -0.103625284124869*rad  | 
V_strip_8_20_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | 1.498420*cm -14.408191*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 118.37081333907253*cm 112.45227270292712*cm -0.103625284124869*rad 4.80273*cm 118.37081333907253*cm 112.45227270292712*cm -0.103625284124869*rad  | 
V_strip_8_21_s4_stack_1 | V-scintillator_8_s4_view_2_stack_1 | 2.497367*cm -24.013651*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.80273*cm 124.28935397521795*cm 118.37081333907253*cm -0.103625284124869*rad 4.80273*cm 124.28935397521795*cm 118.37081333907253*cm -0.103625284124869*rad  | 
