             ec_s1 |       fc | 232.626345*cm 0.000000*cm 723.866183*cm | ordered: zxy 90.0*deg 25.0*deg 0.0*deg |   G4Trap | 26.7767*cm 0.0*rad 0.0*rad 204.35336*cm 1.0E-6*cm 209.32463509128354*cm 0.0*rad 204.35336*cm 1.0E-6*cm 209.32463509128354*cm 0.0*rad  | 
U_strip_1_24_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 57.013001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 122.10969060535332*cm 127.41880756592666*cm 0.0*rad 5.183*cm 122.10969060535332*cm 127.41880756592666*cm 0.0*rad  | 
U_strip_1_25_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 67.379001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 127.41880756592666*cm 132.7279245265*cm 0.0*rad 5.183*cm 127.41880756592666*cm 132.7279245265*cm 0.0*rad  | 
U_strip_1_26_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 77.745001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 132.7279245265*cm 138.03704148707334*cm 0.0*rad 5.183*cm 132.7279245265*cm 138.03704148707334*cm 0.0*rad  | 
U_strip_1_27_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 88.111001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 138.03704148707334*cm 143.34615844764667*cm 0.0*rad 5.183*cm 138.03704148707334*cm 143.34615844764667*cm 0.0*rad  | 
U_strip_1_28_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 98.477001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 143.34615844764667*cm 148.65527540822*cm 0.0*rad 5.183*cm 143.34615844764667*cm 148.65527540822*cm 0.0*rad  | 
U_strip_1_29_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 108.843001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 148.65527540822*cm 153.96439236879337*cm 0.0*rad 5.183*cm 148.65527540822*cm 153.96439236879337*cm 0.0*rad  | 
U_strip_1_30_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 119.209001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 153.96439236879337*cm 159.2735093293667*cm 0.0*rad 5.183*cm 153.96439236879337*cm 159.2735093293667*cm 0.0*rad  | 
U_strip_1_31_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 129.575001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 159.2735093293667*cm 164.58262628994004*cm 0.0*rad 5.183*cm 159.2735093293667*cm 164.58262628994004*cm 0.0*rad  | 
U_strip_1_32_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 139.941001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 164.58262628994004*cm 169.89174325051337*cm 0.0*rad 5.183*cm 164.58262628994004*cm 169.89174325051337*cm 0.0*rad  | 
U_strip_1_33_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 150.307001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 169.89174325051337*cm 175.20086021108673*cm 0.0*rad 5.183*cm 169.89174325051337*cm 175.20086021108673*cm 0.0*rad  | 
U_strip_1_34_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 160.673001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 175.20086021108673*cm 180.50997717166007*cm 0.0*rad 5.183*cm 175.20086021108673*cm 180.50997717166007*cm 0.0*rad  | 
U_strip_1_35_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 171.039001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 180.50997717166007*cm 185.8190941322334*cm 0.0*rad 5.183*cm 180.50997717166007*cm 185.8190941322334*cm 0.0*rad  | 
U_strip_1_36_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 181.405001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 185.8190941322334*cm 191.12821109280674*cm 0.0*rad 5.183*cm 185.8190941322334*cm 191.12821109280674*cm 0.0*rad  | 
lead_2_s1_view_2_stack_1 |    ec_s1 | 0.000000*cm 0.008560*cm -20.209650*cm | 0 0 0 |   G4Trap | 0.11904999999999999*cm 0.0*rad 0.0*rad 186.96906712251183*cm 1.0E-6*cm 191.51855013750804*cm 0.0*rad 186.96906712251183*cm 1.0E-6*cm 191.51855013750804*cm 0.0*rad  | 
V-scintillator_2_s1_view_2_stack_1 |    ec_s1 | -47.879637*cm 93.493093*cm -19.590500*cm | 0.0*deg 180.0*deg 62.88000000000001*deg |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 170.461801*cm 210.06492060328893*cm 1.0E-6*cm -0.103625284124869*rad 170.461801*cm 210.06492060328893*cm 1.0E-6*cm -0.103625284124869*rad  | 
V_strip_2_1_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -17.235217*cm 165.726749*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 5.835137265357553*cm 6.161642062062013E-7*cm -0.103625284124869*rad 4.73505*cm 5.835137265357553*cm 6.161642062062013E-7*cm -0.103625284124869*rad  | 
V_strip_2_2_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -16.250348*cm 156.256649*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 11.6702739145509*cm 5.835137265357553*cm -0.103625284124869*rad 4.73505*cm 11.6702739145509*cm 5.835137265357553*cm -0.103625284124869*rad  | 
V_strip_2_3_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -15.265478*cm 146.786549*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 17.50541056374425*cm 11.6702739145509*cm -0.103625284124869*rad 4.73505*cm 17.50541056374425*cm 11.6702739145509*cm -0.103625284124869*rad  | 
V_strip_2_4_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -14.280609*cm 137.316449*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 23.340547212937597*cm 17.50541056374425*cm -0.103625284124869*rad 4.73505*cm 23.340547212937597*cm 17.50541056374425*cm -0.103625284124869*rad  | 
V_strip_2_5_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -13.295739*cm 127.846349*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 29.175683862130946*cm 23.340547212937597*cm -0.103625284124869*rad 4.73505*cm 29.175683862130946*cm 23.340547212937597*cm -0.103625284124869*rad  | 
V_strip_2_6_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -12.310870*cm 118.376249*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 35.0108205113243*cm 29.175683862130946*cm -0.103625284124869*rad 4.73505*cm 35.0108205113243*cm 29.175683862130946*cm -0.103625284124869*rad  | 
V_strip_2_7_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -11.326000*cm 108.906149*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 40.84595716051764*cm 35.0108205113243*cm -0.103625284124869*rad 4.73505*cm 40.84595716051764*cm 35.0108205113243*cm -0.103625284124869*rad  | 
V_strip_2_8_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -10.341130*cm 99.436049*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 46.681093809710994*cm 40.84595716051764*cm -0.103625284124869*rad 4.73505*cm 46.681093809710994*cm 40.84595716051764*cm -0.103625284124869*rad  | 
V_strip_2_9_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -9.356261*cm 89.965949*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 52.51623045890434*cm 46.681093809710994*cm -0.103625284124869*rad 4.73505*cm 52.51623045890434*cm 46.681093809710994*cm -0.103625284124869*rad  | 
V_strip_2_10_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -8.371391*cm 80.495849*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 58.35136710809769*cm 52.51623045890434*cm -0.103625284124869*rad 4.73505*cm 58.35136710809769*cm 52.51623045890434*cm -0.103625284124869*rad  | 
V_strip_2_11_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -7.386522*cm 71.025749*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 64.18650375729104*cm 58.35136710809769*cm -0.103625284124869*rad 4.73505*cm 64.18650375729104*cm 58.35136710809769*cm -0.103625284124869*rad  | 
V_strip_2_12_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -6.401652*cm 61.555649*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 70.02164040648438*cm 64.18650375729104*cm -0.103625284124869*rad 4.73505*cm 70.02164040648438*cm 64.18650375729104*cm -0.103625284124869*rad  | 
V_strip_2_13_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -5.416783*cm 52.085549*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 75.85677705567774*cm 70.02164040648438*cm -0.103625284124869*rad 4.73505*cm 75.85677705567774*cm 70.02164040648438*cm -0.103625284124869*rad  | 
V_strip_2_14_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -4.431913*cm 42.615449*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 81.69191370487108*cm 75.85677705567774*cm -0.103625284124869*rad 4.73505*cm 81.69191370487108*cm 75.85677705567774*cm -0.103625284124869*rad  | 
V_strip_2_15_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -3.447043*cm 33.145349*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 87.52705035406443*cm 81.69191370487108*cm -0.103625284124869*rad 4.73505*cm 87.52705035406443*cm 81.69191370487108*cm -0.103625284124869*rad  | 
V_strip_2_16_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -2.462174*cm 23.675249*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 93.36218700325777*cm 87.52705035406443*cm -0.103625284124869*rad 4.73505*cm 93.36218700325777*cm 87.52705035406443*cm -0.103625284124869*rad  | 
V_strip_2_17_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -1.477304*cm 14.205149*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 99.19732365245113*cm 93.36218700325777*cm -0.103625284124869*rad 4.73505*cm 99.19732365245113*cm 93.36218700325777*cm -0.103625284124869*rad  | 
V_strip_2_18_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -0.492435*cm 4.735049*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 4.73505*cm 105.03246030164448*cm 99.19732365245113*cm -0.103625284124869*rad 4.73505*cm 105.03246030164448*cm 99.19732365245113*cm -0.103625284124869*rad  | 
