           pcal_s1 |       fc | 209.837207*cm 0.000000*cm 682.417577*cm | ordered: zxy 90.0*deg 25.0*deg 0.0*deg |   G4Trap | 14.9118*cm 0.0*rad 0.0*rad 192.67503532012952*cm 1.0E-6*cm 197.15000000000003*cm 0.0*rad 192.67503532012952*cm 1.0E-6*cm 197.15000000000003*cm 0.0*rad  | 
V-view_single_strip_3_43_s4 | V-view-scintillator_8_s4 | 2.119875*cm -20.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 122.00214258199976*cm 119.258486542071*cm -0.1045535321895573*rad 2.225*cm 122.00214258199976*cm 119.258486542071*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_44_s4 | V-view-scintillator_8_s4 | 2.592088*cm -24.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 124.7766262178828*cm 122.03297017795403*cm -0.1045535321895573*rad 2.225*cm 124.7766262178828*cm 122.03297017795403*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_45_s4 | V-view-scintillator_8_s4 | 3.064301*cm -29.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 127.55110985376584*cm 124.80745381383706*cm -0.1045535321895573*rad 2.225*cm 127.55110985376584*cm 124.80745381383706*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_46_s4 | V-view-scintillator_8_s4 | 3.536514*cm -33.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 130.32559348964887*cm 127.58193744972009*cm -0.1045535321895573*rad 2.225*cm 130.32559348964887*cm 127.58193744972009*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_47_s4 | V-view-scintillator_8_s4 | 4.008726*cm -38.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 133.1000771255319*cm 130.35642108560313*cm -0.1045535321895573*rad 2.225*cm 133.1000771255319*cm 130.35642108560313*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_48_s4 | V-view-scintillator_8_s4 | 4.480939*cm -42.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 135.87456076141493*cm 133.13090472148616*cm -0.1045535321895573*rad 2.225*cm 135.87456076141493*cm 133.13090472148616*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_49_s4 | V-view-scintillator_8_s4 | 4.953152*cm -47.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 138.64904439729796*cm 135.9053883573692*cm -0.1045535321895573*rad 2.225*cm 138.64904439729796*cm 135.9053883573692*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_50_s4 | V-view-scintillator_8_s4 | 5.425365*cm -51.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 141.423528033181*cm 138.67987199325222*cm -0.1045535321895573*rad 2.225*cm 141.423528033181*cm 138.67987199325222*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_51_s4 | V-view-scintillator_8_s4 | 5.897578*cm -56.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 144.19801166906404*cm 141.45435562913525*cm -0.1045535321895573*rad 2.225*cm 144.19801166906404*cm 141.45435562913525*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_52_s4 | V-view-scintillator_8_s4 | 6.369790*cm -60.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 146.97249530494707*cm 144.22883926501828*cm -0.1045535321895573*rad 2.225*cm 146.97249530494707*cm 144.22883926501828*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_53_s4 | V-view-scintillator_8_s4 | 6.842003*cm -65.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 149.7469789408301*cm 147.00332290090134*cm -0.1045535321895573*rad 2.225*cm 149.7469789408301*cm 147.00332290090134*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_54_s4 | V-view-scintillator_8_s4 | 7.314216*cm -69.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 152.52146257671313*cm 149.77780653678437*cm -0.1045535321895573*rad 2.225*cm 152.52146257671313*cm 149.77780653678437*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_55_s4 | V-view-scintillator_8_s4 | 7.786429*cm -74.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 155.29594621259616*cm 152.5522901726674*cm -0.1045535321895573*rad 2.225*cm 155.29594621259616*cm 152.5522901726674*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_56_s4 | V-view-scintillator_8_s4 | 8.258642*cm -78.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 158.07042984847922*cm 155.32677380855043*cm -0.1045535321895573*rad 2.225*cm 158.07042984847922*cm 155.32677380855043*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_57_s4 | V-view-scintillator_8_s4 | 8.730854*cm -83.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 160.84491348436225*cm 158.1012574444335*cm -0.1045535321895573*rad 2.225*cm 160.84491348436225*cm 158.1012574444335*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_58_s4 | V-view-scintillator_8_s4 | 9.203067*cm -87.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 163.61939712024528*cm 160.87574108031652*cm -0.1045535321895573*rad 2.225*cm 163.61939712024528*cm 160.87574108031652*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_59_s4 | V-view-scintillator_8_s4 | 9.675280*cm -92.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 166.3938807561283*cm 163.65022471619955*cm -0.1045535321895573*rad 2.225*cm 166.3938807561283*cm 163.65022471619955*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_60_s4 | V-view-scintillator_8_s4 | 10.147493*cm -96.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 169.16836439201134*cm 166.42470835208258*cm -0.1045535321895573*rad 2.225*cm 169.16836439201134*cm 166.42470835208258*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_61_s4 | V-view-scintillator_8_s4 | 10.619706*cm -101.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 171.94284802789437*cm 169.1991919879656*cm -0.1045535321895573*rad 2.225*cm 171.94284802789437*cm 169.1991919879656*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_62_s4 | V-view-scintillator_8_s4 | 11.091918*cm -105.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 174.7173316637774*cm 171.97367562384864*cm -0.1045535321895573*rad 2.225*cm 174.7173316637774*cm 171.97367562384864*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_63_s4 | V-view-scintillator_8_s4 | 11.564131*cm -110.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 177.49181529966046*cm 174.74815925973166*cm -0.1045535321895573*rad 2.225*cm 177.49181529966046*cm 174.74815925973166*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_64_s4 | V-view-scintillator_8_s4 | 12.036344*cm -114.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 180.2662989355435*cm 177.52264289561472*cm -0.1045535321895573*rad 2.225*cm 180.2662989355435*cm 177.52264289561472*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_65_s4 | V-view-scintillator_8_s4 | 12.508557*cm -119.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 183.04078257142652*cm 180.29712653149775*cm -0.1045535321895573*rad 2.225*cm 183.04078257142652*cm 180.29712653149775*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_66_s4 | V-view-scintillator_8_s4 | 12.980770*cm -123.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 185.81526620730955*cm 183.07161016738078*cm -0.1045535321895573*rad 2.225*cm 185.81526620730955*cm 183.07161016738078*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_67_s4 | V-view-scintillator_8_s4 | 13.452983*cm -128.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 188.58974984319258*cm 185.8460938032638*cm -0.1045535321895573*rad 2.225*cm 188.58974984319258*cm 185.8460938032638*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_68_s4 | V-view-scintillator_8_s4 | 13.925195*cm -132.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 191.3642334790756*cm 188.62057743914684*cm -0.1045535321895573*rad 2.225*cm 191.3642334790756*cm 188.62057743914684*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_69_s4 | V-view-scintillator_8_s4 | 14.397408*cm -137.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 194.13871711495864*cm 191.39506107502987*cm -0.1045535321895573*rad 2.225*cm 194.13871711495864*cm 191.39506107502987*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_70_s4 | V-view-scintillator_8_s4 | 14.869621*cm -141.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 196.91320075084167*cm 194.1695447109129*cm -0.1045535321895573*rad 2.225*cm 196.91320075084167*cm 194.1695447109129*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_71_s4 | V-view-scintillator_8_s4 | 15.341834*cm -146.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 199.68768438672473*cm 196.94402834679593*cm -0.1045535321895573*rad 2.225*cm 199.68768438672473*cm 196.94402834679593*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_72_s4 | V-view-scintillator_8_s4 | 15.814047*cm -150.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 202.46216802260776*cm 199.718511982679*cm -0.1045535321895573*rad 2.225*cm 202.46216802260776*cm 199.718511982679*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_73_s4 | V-view-scintillator_8_s4 | 16.286259*cm -155.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 205.23665165849079*cm 202.49299561856202*cm -0.1045535321895573*rad 2.225*cm 205.23665165849079*cm 202.49299561856202*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_74_s4 | V-view-scintillator_8_s4 | 16.758472*cm -159.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 208.01113529437382*cm 205.26747925444505*cm -0.1045535321895573*rad 2.225*cm 208.01113529437382*cm 205.26747925444505*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_75_s4 | V-view-scintillator_8_s4 | 17.230685*cm -164.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 210.78561893025685*cm 208.04196289032808*cm -0.1045535321895573*rad 2.225*cm 210.78561893025685*cm 208.04196289032808*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_76_s4 | V-view-scintillator_8_s4 | 17.702898*cm -168.701566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 213.56010256613988*cm 210.8164465262111*cm -0.1045535321895573*rad 2.225*cm 213.56010256613988*cm 210.8164465262111*cm -0.1045535321895573*rad  | 
V-view_single_strip_3_77_s4 | V-view-scintillator_8_s4 | 18.175111*cm -173.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 216.3345862020229*cm 213.59093016209414*cm -0.1045535321895573*rad 2.225*cm 216.3345862020229*cm 213.59093016209414*cm -0.1045535321895573*rad  | 
PCAL_Lead_Layer_8_s4 |  pcal_s4 | 0.000000*cm 0.000000*cm 0.632600*cm | 0 0 0 |   G4Trap | 0.1075*cm 0.0*rad 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad  | 
W-view-scintillator_9_s4 |  pcal_s4 | 49.250832*cm 96.321965*cm 1.265200*cm | ordered: zyx 62.90500000000001*deg 0.0*deg 0.0*deg |   G4Trap | 0.525*cm 0.0*rad 0.0*rad 175.45156644799258*cm 216.35000100000002*cm 2.0E-6*cm -0.1045535321895573*rad 175.45156644799258*cm 216.35000100000002*cm 2.0E-6*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_0_s4 | W-view-scintillator_9_s4 | -18.180193*cm 173.250000*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.176566447992576*cm 2.6993462390293335*cm 0.015413797977127964*cm -0.1045535321895573*rad 2.176566447992576*cm 2.6993462390293335*cm 0.015413797977127964*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_1_s4 | W-view-scintillator_9_s4 | -17.713063*cm 168.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 5.473829874912366*cm 2.730173834983589*cm -0.1045535321895573*rad 2.225*cm 5.473829874912366*cm 2.730173834983589*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_2_s4 | W-view-scintillator_9_s4 | -17.240850*cm 164.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 8.2483135107954*cm 5.504657470866623*cm -0.1045535321895573*rad 2.225*cm 8.2483135107954*cm 5.504657470866623*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_3_s4 | W-view-scintillator_9_s4 | -16.768637*cm 159.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 11.022797146678432*cm 8.279141106749655*cm -0.1045535321895573*rad 2.225*cm 11.022797146678432*cm 8.279141106749655*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_4_s4 | W-view-scintillator_9_s4 | -16.296424*cm 155.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 13.797280782561465*cm 11.053624742632689*cm -0.1045535321895573*rad 2.225*cm 13.797280782561465*cm 11.053624742632689*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_5_s4 | W-view-scintillator_9_s4 | -15.824211*cm 150.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 16.5717644184445*cm 13.828108378515722*cm -0.1045535321895573*rad 2.225*cm 16.5717644184445*cm 13.828108378515722*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_6_s4 | W-view-scintillator_9_s4 | -15.351999*cm 146.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 19.346248054327532*cm 16.602592014398756*cm -0.1045535321895573*rad 2.225*cm 19.346248054327532*cm 16.602592014398756*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_7_s4 | W-view-scintillator_9_s4 | -14.879786*cm 141.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 22.12073169021057*cm 19.37707565028179*cm -0.1045535321895573*rad 2.225*cm 22.12073169021057*cm 19.37707565028179*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_8_s4 | W-view-scintillator_9_s4 | -14.407573*cm 137.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 24.895215326093602*cm 22.151559286164822*cm -0.1045535321895573*rad 2.225*cm 24.895215326093602*cm 22.151559286164822*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_9_s4 | W-view-scintillator_9_s4 | -13.935360*cm 132.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 27.669698961976636*cm 24.926042922047856*cm -0.1045535321895573*rad 2.225*cm 27.669698961976636*cm 24.926042922047856*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_10_s4 | W-view-scintillator_9_s4 | -13.463147*cm 128.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 30.44418259785967*cm 27.70052655793089*cm -0.1045535321895573*rad 2.225*cm 30.44418259785967*cm 27.70052655793089*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_11_s4 | W-view-scintillator_9_s4 | -12.990935*cm 123.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 33.2186662337427*cm 30.475010193813922*cm -0.1045535321895573*rad 2.225*cm 33.2186662337427*cm 30.475010193813922*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_12_s4 | W-view-scintillator_9_s4 | -12.518722*cm 119.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 35.99314986962573*cm 33.24949382969695*cm -0.1045535321895573*rad 2.225*cm 35.99314986962573*cm 33.24949382969695*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_13_s4 | W-view-scintillator_9_s4 | -12.046509*cm 114.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 38.76763350550877*cm 36.02397746557999*cm -0.1045535321895573*rad 2.225*cm 38.76763350550877*cm 36.02397746557999*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_14_s4 | W-view-scintillator_9_s4 | -11.574296*cm 110.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 41.542117141391806*cm 38.79846110146302*cm -0.1045535321895573*rad 2.225*cm 41.542117141391806*cm 38.79846110146302*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_15_s4 | W-view-scintillator_9_s4 | -11.102083*cm 105.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 44.316600777274836*cm 41.57294473734606*cm -0.1045535321895573*rad 2.225*cm 44.316600777274836*cm 41.57294473734606*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_16_s4 | W-view-scintillator_9_s4 | -10.629871*cm 101.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 47.09108441315787*cm 44.34742837322909*cm -0.1045535321895573*rad 2.225*cm 47.09108441315787*cm 44.34742837322909*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_17_s4 | W-view-scintillator_9_s4 | -10.157658*cm 96.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 49.8655680490409*cm 47.12191200911212*cm -0.1045535321895573*rad 2.225*cm 49.8655680490409*cm 47.12191200911212*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_18_s4 | W-view-scintillator_9_s4 | -9.685445*cm 92.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 52.64005168492394*cm 49.89639564499516*cm -0.1045535321895573*rad 2.225*cm 52.64005168492394*cm 49.89639564499516*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_19_s4 | W-view-scintillator_9_s4 | -9.213232*cm 87.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 55.41453532080697*cm 52.67087928087819*cm -0.1045535321895573*rad 2.225*cm 55.41453532080697*cm 52.67087928087819*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_20_s4 | W-view-scintillator_9_s4 | -8.741019*cm 83.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 58.189018956690006*cm 55.445362916761226*cm -0.1045535321895573*rad 2.225*cm 58.189018956690006*cm 55.445362916761226*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_21_s4 | W-view-scintillator_9_s4 | -8.268807*cm 78.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 60.963502592573036*cm 58.219846552644256*cm -0.1045535321895573*rad 2.225*cm 60.963502592573036*cm 58.219846552644256*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_22_s4 | W-view-scintillator_9_s4 | -7.796594*cm 74.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 63.73798622845607*cm 60.99433018852729*cm -0.1045535321895573*rad 2.225*cm 63.73798622845607*cm 60.99433018852729*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_23_s4 | W-view-scintillator_9_s4 | -7.324381*cm 69.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 66.51246986433911*cm 63.76881382441032*cm -0.1045535321895573*rad 2.225*cm 66.51246986433911*cm 63.76881382441032*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_24_s4 | W-view-scintillator_9_s4 | -6.852168*cm 65.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 69.28695350022214*cm 66.54329746029336*cm -0.1045535321895573*rad 2.225*cm 69.28695350022214*cm 66.54329746029336*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_25_s4 | W-view-scintillator_9_s4 | -6.379955*cm 60.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 72.06143713610517*cm 69.31778109617639*cm -0.1045535321895573*rad 2.225*cm 72.06143713610517*cm 69.31778109617639*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_26_s4 | W-view-scintillator_9_s4 | -5.907743*cm 56.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 74.8359207719882*cm 72.09226473205942*cm -0.1045535321895573*rad 2.225*cm 74.8359207719882*cm 72.09226473205942*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_27_s4 | W-view-scintillator_9_s4 | -5.435530*cm 51.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 77.61040440787124*cm 74.86674836794246*cm -0.1045535321895573*rad 2.225*cm 77.61040440787124*cm 74.86674836794246*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_28_s4 | W-view-scintillator_9_s4 | -4.963317*cm 47.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 80.38488804375426*cm 77.6412320038255*cm -0.1045535321895573*rad 2.225*cm 80.38488804375426*cm 77.6412320038255*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_29_s4 | W-view-scintillator_9_s4 | -4.491104*cm 42.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 83.1593716796373*cm 80.41571563970852*cm -0.1045535321895573*rad 2.225*cm 83.1593716796373*cm 80.41571563970852*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_30_s4 | W-view-scintillator_9_s4 | -4.018891*cm 38.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 85.93385531552033*cm 83.19019927559155*cm -0.1045535321895573*rad 2.225*cm 85.93385531552033*cm 83.19019927559155*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_31_s4 | W-view-scintillator_9_s4 | -3.546678*cm 33.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 88.70833895140336*cm 85.9646829114746*cm -0.1045535321895573*rad 2.225*cm 88.70833895140336*cm 85.9646829114746*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_32_s4 | W-view-scintillator_9_s4 | -3.074466*cm 29.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 91.48282258728639*cm 88.73916654735763*cm -0.1045535321895573*rad 2.225*cm 91.48282258728639*cm 88.73916654735763*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_33_s4 | W-view-scintillator_9_s4 | -2.602253*cm 24.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 94.25730622316944*cm 91.51365018324066*cm -0.1045535321895573*rad 2.225*cm 94.25730622316944*cm 91.51365018324066*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_34_s4 | W-view-scintillator_9_s4 | -2.130040*cm 20.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 97.03178985905247*cm 94.28813381912369*cm -0.1045535321895573*rad 2.225*cm 97.03178985905247*cm 94.28813381912369*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_35_s4 | W-view-scintillator_9_s4 | -1.657827*cm 15.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 99.8062734949355*cm 97.06261745500673*cm -0.1045535321895573*rad 2.225*cm 99.8062734949355*cm 97.06261745500673*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_36_s4 | W-view-scintillator_9_s4 | -1.185614*cm 11.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 102.58075713081853*cm 99.83710109088976*cm -0.1045535321895573*rad 2.225*cm 102.58075713081853*cm 99.83710109088976*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_37_s4 | W-view-scintillator_9_s4 | -0.713402*cm 6.798434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 105.35524076670157*cm 102.61158472677279*cm -0.1045535321895573*rad 2.225*cm 105.35524076670157*cm 102.61158472677279*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_38_s4 | W-view-scintillator_9_s4 | -0.241189*cm 2.298434*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 108.1297244025846*cm 105.38606836265582*cm -0.1045535321895573*rad 2.225*cm 108.1297244025846*cm 105.38606836265582*cm -0.1045535321895573*rad  | 
W-view_single_strip_3_39_s4 | W-view-scintillator_9_s4 | 0.231024*cm -2.201566*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 110.90420803846763*cm 108.16055199853886*cm -0.1045535321895573*rad 2.225*cm 110.90420803846763*cm 108.16055199853886*cm -0.1045535321895573*rad  | 
