    FMT_HVcover1_2_3  |                 FMT  |    HVcover2, Layer1, Element3  |                              0*mm 0*mm -29.485*mm  |                    0*deg 0*deg -240*deg  |6c2d582   |                Tube  |                  204*mm 223.8*mm 3.25*mm 13.5*deg 0.255*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    FMT_HVcover1_2_4  |                 FMT  |    HVcover2, Layer1, Element4  |                              0*mm 0*mm -29.485*mm  |                    0*deg 0*deg -240*deg  |6c2d582   |                Tube  |             223.8*mm 224.8*mm 3.25*mm -13.755*deg 27.51*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_connector8_1_1  |                 FMT  |Connector 8, Layer 1, Element 1  |                              0*mm 0*mm -31.235*mm  |                     0*deg 0*deg -60*deg  |40b8af4   |                Tube  |                   205.9*mm 213.3*mm 1.5*mm 33.2*deg 8.6*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_connector8_1_2  |                 FMT  |Connector 8, Layer 1, Element 2  |                              0*mm 0*mm -29.485*mm  |                     0*deg 0*deg -60*deg  |6c2d582   |                Tube  |                  205.9*mm 213.3*mm 0.25*mm 33.6*deg 7.8*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_connector8_1_3  |                 FMT  |Connector 8, Layer 1, Element 3  |                              0*mm 0*mm -30.235*mm  |                     0*deg 0*deg -60*deg  |40b8af4   |                Tube  |                       213.3*mm 225.3*mm 1*mm 33*deg 9.6*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_connector8_1_4  |                 FMT  |Connector 8, Layer 1, Element 4  |                              0*mm 0*mm -28.885*mm  |                     0*deg 0*deg -60*deg  |6c2d582   |                Tube  |                      216.5*mm 224*mm 0.35*mm 35*deg 5.6*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 FMT_connector16_1_1  |                 FMT  |Connector 16, Layer 1, Element 1  |                              0*mm 0*mm -31.235*mm  |                    0*deg 0*deg -240*deg  |40b8af4   |                Tube  |                   205.9*mm 213.3*mm 1.5*mm 33.2*deg 8.6*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 FMT_connector16_1_2  |                 FMT  |Connector 16, Layer 1, Element 2  |                              0*mm 0*mm -29.485*mm  |                    0*deg 0*deg -240*deg  |6c2d582   |                Tube  |                  205.9*mm 213.3*mm 0.25*mm 33.6*deg 7.8*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 FMT_connector16_1_3  |                 FMT  |Connector 16, Layer 1, Element 3  |                              0*mm 0*mm -30.235*mm  |                    0*deg 0*deg -240*deg  |40b8af4   |                Tube  |                       213.3*mm 225.3*mm 1*mm 33*deg 9.6*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 FMT_connector16_1_4  |                 FMT  |Connector 16, Layer 1, Element 4  |                              0*mm 0*mm -28.885*mm  |                    0*deg 0*deg -240*deg  |6c2d582   |                Tube  |                      216.5*mm 224*mm 0.35*mm 35*deg 5.6*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_connector7_1_1  |                 FMT  |Connector 7, Layer 1, Element 1  |                              0*mm 0*mm -31.235*mm  |                     0*deg 0*deg -75*deg  |40b8af4   |                Tube  |                   205.9*mm 213.3*mm 1.5*mm 33.2*deg 8.6*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_connector7_1_2  |                 FMT  |Connector 7, Layer 1, Element 2  |                              0*mm 0*mm -29.485*mm  |                     0*deg 0*deg -75*deg  |6c2d582   |                Tube  |                  205.9*mm 213.3*mm 0.25*mm 33.6*deg 7.8*deg  |               myAlu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  FMT_connector7_1_3  |                 FMT  |Connector 7, Layer 1, Element 3  |                              0*mm 0*mm -30.235*mm  |                     0*deg 0*deg -75*deg  |40b8af4   |                Tube  |                       213.3*mm 225.3*mm 1*mm 33*deg 9.6*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
