             ec_s1 |       fc | 232.6263*cm 0*cm 723.8662*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 26.7767*cm 0*rad 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad  | 
U_strip_16_28_s3_stack_2 | U-scintillator_16_s3_view_1_stack_2 | 0*cm 102.0053*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.3687*cm 148.4821*cm 153.9814*cm 0*rad 5.3687*cm 148.4821*cm 153.9814*cm 0*rad  | 
U_strip_16_29_s3_stack_2 | U-scintillator_16_s3_view_1_stack_2 | 0*cm 112.7427*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.3687*cm 153.9814*cm 159.4807*cm 0*rad 5.3687*cm 153.9814*cm 159.4807*cm 0*rad  | 
U_strip_16_30_s3_stack_2 | U-scintillator_16_s3_view_1_stack_2 | 0*cm 123.4801*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.3687*cm 159.4807*cm 164.9801*cm 0*rad 5.3687*cm 159.4807*cm 164.9801*cm 0*rad  | 
U_strip_16_31_s3_stack_2 | U-scintillator_16_s3_view_1_stack_2 | 0*cm 134.2175*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.3687*cm 164.9801*cm 170.4794*cm 0*rad 5.3687*cm 164.9801*cm 170.4794*cm 0*rad  | 
U_strip_16_32_s3_stack_2 | U-scintillator_16_s3_view_1_stack_2 | 0*cm 144.9549*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.3687*cm 170.4794*cm 175.9787*cm 0*rad 5.3687*cm 170.4794*cm 175.9787*cm 0*rad  | 
U_strip_16_33_s3_stack_2 | U-scintillator_16_s3_view_1_stack_2 | 0*cm 155.6923*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.3687*cm 175.9787*cm 181.4781*cm 0*rad 5.3687*cm 175.9787*cm 181.4781*cm 0*rad  | 
U_strip_16_34_s3_stack_2 | U-scintillator_16_s3_view_1_stack_2 | 0*cm 166.4297*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.3687*cm 181.4781*cm 186.9774*cm 0*rad 5.3687*cm 181.4781*cm 186.9774*cm 0*rad  | 
U_strip_16_35_s3_stack_2 | U-scintillator_16_s3_view_1_stack_2 | 0*cm 177.1671*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.3687*cm 186.9774*cm 192.4767*cm 0*rad 5.3687*cm 186.9774*cm 192.4767*cm 0*rad  | 
U_strip_16_36_s3_stack_2 | U-scintillator_16_s3_view_1_stack_2 | 0*cm 187.9045*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.3687*cm 192.4767*cm 197.9761*cm 0*rad 5.3687*cm 192.4767*cm 197.9761*cm 0*rad  | 
lead_17_s3_view_2_stack_2 |    ec_s3 | 0*cm 0.137*cm -1.63515*cm | 0 0 0 |   G4Trap | 0.119*cm 0*rad 0*rad 193.6501*cm 0.000001*cm 198.3622*cm 0*rad 193.6501*cm 0.000001*cm 198.3622*cm 0*rad  | 
V-scintillator_17_s3_view_2_stack_2 |    ec_s3 | -49.5905452*cm 96.962*cm -1.016*cm | 0*deg 180*deg 62.88*deg |   G4Trap | 0.5*cm 0*rad 0*rad 176.553*cm 217.5713*cm 0.000001*cm -0.1036253*rad 176.553*cm 217.5713*cm 0.000001*cm -0.1036253*rad  | 
V_strip_17_1_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -17.8510924*cm 171.6487*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 6.0436*cm 0.0000006*cm -0.1036253*rad 4.9043*cm 6.0436*cm 0.0000006*cm -0.1036253*rad  | 
V_strip_17_2_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -16.8310299*cm 161.8402*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 12.0873*cm 6.0436*cm -0.1036253*rad 4.9043*cm 12.0873*cm 6.0436*cm -0.1036253*rad  | 
V_strip_17_3_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -15.8109675*cm 152.0317*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 18.1309*cm 12.0873*cm -0.1036253*rad 4.9043*cm 18.1309*cm 12.0873*cm -0.1036253*rad  | 
V_strip_17_4_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -14.7909051*cm 142.2232*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 24.1746*cm 18.1309*cm -0.1036253*rad 4.9043*cm 24.1746*cm 18.1309*cm -0.1036253*rad  | 
V_strip_17_5_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -13.7708427*cm 132.4147*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 30.2182*cm 24.1746*cm -0.1036253*rad 4.9043*cm 30.2182*cm 24.1746*cm -0.1036253*rad  | 
V_strip_17_6_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -12.7507802*cm 122.6062*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 36.2619*cm 30.2182*cm -0.1036253*rad 4.9043*cm 36.2619*cm 30.2182*cm -0.1036253*rad  | 
V_strip_17_7_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -11.7307178*cm 112.7977*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 42.3055*cm 36.2619*cm -0.1036253*rad 4.9043*cm 42.3055*cm 36.2619*cm -0.1036253*rad  | 
V_strip_17_8_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -10.7106554*cm 102.9892*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 48.3492*cm 42.3055*cm -0.1036253*rad 4.9043*cm 48.3492*cm 42.3055*cm -0.1036253*rad  | 
V_strip_17_9_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -9.690593*cm 93.1807*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 54.3928*cm 48.3492*cm -0.1036253*rad 4.9043*cm 54.3928*cm 48.3492*cm -0.1036253*rad  | 
V_strip_17_10_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -8.6705305*cm 83.3722*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 60.4365*cm 54.3928*cm -0.1036253*rad 4.9043*cm 60.4365*cm 54.3928*cm -0.1036253*rad  | 
V_strip_17_11_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -7.6504681*cm 73.5637*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 66.4801*cm 60.4365*cm -0.1036253*rad 4.9043*cm 66.4801*cm 60.4365*cm -0.1036253*rad  | 
V_strip_17_12_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -6.6304057*cm 63.7552*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 72.5238*cm 66.4801*cm -0.1036253*rad 4.9043*cm 72.5238*cm 66.4801*cm -0.1036253*rad  | 
V_strip_17_13_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -5.6103432*cm 53.9467*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 78.5674*cm 72.5238*cm -0.1036253*rad 4.9043*cm 78.5674*cm 72.5238*cm -0.1036253*rad  | 
V_strip_17_14_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -4.5902808*cm 44.1382*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 84.6111*cm 78.5674*cm -0.1036253*rad 4.9043*cm 84.6111*cm 78.5674*cm -0.1036253*rad  | 
V_strip_17_15_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -3.5702184*cm 34.3297*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 90.6547*cm 84.6111*cm -0.1036253*rad 4.9043*cm 90.6547*cm 84.6111*cm -0.1036253*rad  | 
V_strip_17_16_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -2.550156*cm 24.5212*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 96.6983*cm 90.6547*cm -0.1036253*rad 4.9043*cm 96.6983*cm 90.6547*cm -0.1036253*rad  | 
V_strip_17_17_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -1.5300935*cm 14.7127*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 102.742*cm 96.6983*cm -0.1036253*rad 4.9043*cm 102.742*cm 96.6983*cm -0.1036253*rad  | 
V_strip_17_18_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | -0.5100311*cm 4.9042*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 108.7856*cm 102.742*cm -0.1036253*rad 4.9043*cm 108.7856*cm 102.742*cm -0.1036253*rad  | 
V_strip_17_19_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 0.51*cm -4.904251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 114.8293*cm 108.7856*cm -0.1036253*rad 4.9043*cm 114.8293*cm 108.7856*cm -0.1036253*rad  | 
V_strip_17_20_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 1.5301*cm -14.712751*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 120.8729*cm 114.8293*cm -0.1036253*rad 4.9043*cm 120.8729*cm 114.8293*cm -0.1036253*rad  | 
V_strip_17_21_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 2.5502*cm -24.521251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 126.9166*cm 120.8729*cm -0.1036253*rad 4.9043*cm 126.9166*cm 120.8729*cm -0.1036253*rad  | 
V_strip_17_22_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 3.5702*cm -34.329751*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 132.9602*cm 126.9166*cm -0.1036253*rad 4.9043*cm 132.9602*cm 126.9166*cm -0.1036253*rad  | 
V_strip_17_23_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 4.5903*cm -44.138251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 139.0039*cm 132.9602*cm -0.1036253*rad 4.9043*cm 139.0039*cm 132.9602*cm -0.1036253*rad  | 
V_strip_17_24_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 5.6103*cm -53.946751*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 145.0475*cm 139.0039*cm -0.1036253*rad 4.9043*cm 145.0475*cm 139.0039*cm -0.1036253*rad  | 
V_strip_17_25_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 6.6304*cm -63.755251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 151.0912*cm 145.0475*cm -0.1036253*rad 4.9043*cm 151.0912*cm 145.0475*cm -0.1036253*rad  | 
V_strip_17_26_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 7.6505*cm -73.563751*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 157.1348*cm 151.0912*cm -0.1036253*rad 4.9043*cm 157.1348*cm 151.0912*cm -0.1036253*rad  | 
V_strip_17_27_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 8.6705*cm -83.372251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 163.1785*cm 157.1348*cm -0.1036253*rad 4.9043*cm 163.1785*cm 157.1348*cm -0.1036253*rad  | 
V_strip_17_28_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 9.6906*cm -93.180751*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 169.2221*cm 163.1785*cm -0.1036253*rad 4.9043*cm 169.2221*cm 163.1785*cm -0.1036253*rad  | 
V_strip_17_29_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 10.7107*cm -102.989251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 175.2658*cm 169.2221*cm -0.1036253*rad 4.9043*cm 175.2658*cm 169.2221*cm -0.1036253*rad  | 
V_strip_17_30_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 11.7307*cm -112.797751*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 181.3094*cm 175.2658*cm -0.1036253*rad 4.9043*cm 181.3094*cm 175.2658*cm -0.1036253*rad  | 
V_strip_17_31_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 12.7508*cm -122.606251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 187.353*cm 181.3094*cm -0.1036253*rad 4.9043*cm 187.353*cm 181.3094*cm -0.1036253*rad  | 
V_strip_17_32_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 13.7708*cm -132.414751*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 193.3967*cm 187.353*cm -0.1036253*rad 4.9043*cm 193.3967*cm 187.353*cm -0.1036253*rad  | 
V_strip_17_33_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 14.7909*cm -142.223251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 199.4403*cm 193.3967*cm -0.1036253*rad 4.9043*cm 199.4403*cm 193.3967*cm -0.1036253*rad  | 
V_strip_17_34_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 15.811*cm -152.031751*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 205.484*cm 199.4403*cm -0.1036253*rad 4.9043*cm 205.484*cm 199.4403*cm -0.1036253*rad  | 
V_strip_17_35_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 16.831*cm -161.840251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 211.5276*cm 205.484*cm -0.1036253*rad 4.9043*cm 211.5276*cm 205.484*cm -0.1036253*rad  | 
V_strip_17_36_s3_stack_2 | V-scintillator_17_s3_view_2_stack_2 | 17.8511*cm -171.648751*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9043*cm 217.5713*cm 211.5276*cm -0.1036253*rad 4.9043*cm 217.5713*cm 211.5276*cm -0.1036253*rad  | 
lead_18_s3_view_3_stack_2 |    ec_s3 | 0*cm 0.1455*cm -0.39685*cm | 0 0 0 |   G4Trap | 0.119*cm 0*rad 0*rad 194.0943*cm 0.000001*cm 198.8172*cm 0*rad 194.0943*cm 0.000001*cm 198.8172*cm 0*rad  | 
W-scintillator_18_s3_view_3_stack_2 |    ec_s3 | 49.7043*cm 97.1927*cm 0.2223*cm | 0*deg 0*deg 62.88*deg |   G4Trap | 0.5*cm 0*rad 0*rad 176.958*cm 218.0704*cm 0.000001*cm -0.1036253*rad 176.958*cm 218.0704*cm 0.000001*cm -0.1036253*rad  | 
W_strip_18_1_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -17.8920415*cm 172.0425*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 6.0575*cm 0.0000006*cm -0.1036253*rad 4.9155*cm 6.0575*cm 0.0000006*cm -0.1036253*rad  | 
W_strip_18_2_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -16.8696391*cm 162.2115*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 12.115*cm 6.0575*cm -0.1036253*rad 4.9155*cm 12.115*cm 6.0575*cm -0.1036253*rad  | 
W_strip_18_3_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -15.8472367*cm 152.3805*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 18.1725*cm 12.115*cm -0.1036253*rad 4.9155*cm 18.1725*cm 12.115*cm -0.1036253*rad  | 
W_strip_18_4_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -14.8248344*cm 142.5495*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 24.23*cm 18.1725*cm -0.1036253*rad 4.9155*cm 24.23*cm 18.1725*cm -0.1036253*rad  | 
W_strip_18_5_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -13.802432*cm 132.7185*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 30.2876*cm 24.23*cm -0.1036253*rad 4.9155*cm 30.2876*cm 24.23*cm -0.1036253*rad  | 
W_strip_18_6_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -12.7800296*cm 122.8875*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 36.3451*cm 30.2876*cm -0.1036253*rad 4.9155*cm 36.3451*cm 30.2876*cm -0.1036253*rad  | 
W_strip_18_7_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -11.7576272*cm 113.0565*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 42.4026*cm 36.3451*cm -0.1036253*rad 4.9155*cm 42.4026*cm 36.3451*cm -0.1036253*rad  | 
W_strip_18_8_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -10.7352249*cm 103.2255*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 48.4601*cm 42.4026*cm -0.1036253*rad 4.9155*cm 48.4601*cm 42.4026*cm -0.1036253*rad  | 
W_strip_18_9_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -9.7128225*cm 93.3945*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 54.5176*cm 48.4601*cm -0.1036253*rad 4.9155*cm 54.5176*cm 48.4601*cm -0.1036253*rad  | 
W_strip_18_10_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -8.6904201*cm 83.5635*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 60.5751*cm 54.5176*cm -0.1036253*rad 4.9155*cm 60.5751*cm 54.5176*cm -0.1036253*rad  | 
W_strip_18_11_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -7.6680177*cm 73.7325*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 66.6326*cm 60.5751*cm -0.1036253*rad 4.9155*cm 66.6326*cm 60.5751*cm -0.1036253*rad  | 
W_strip_18_12_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -6.6456154*cm 63.9015*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 72.6901*cm 66.6326*cm -0.1036253*rad 4.9155*cm 72.6901*cm 66.6326*cm -0.1036253*rad  | 
W_strip_18_13_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -5.623213*cm 54.0705*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 78.7476*cm 72.6901*cm -0.1036253*rad 4.9155*cm 78.7476*cm 72.6901*cm -0.1036253*rad  | 
W_strip_18_14_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -4.6008106*cm 44.2395*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 84.8051*cm 78.7476*cm -0.1036253*rad 4.9155*cm 84.8051*cm 78.7476*cm -0.1036253*rad  | 
W_strip_18_15_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -3.5784082*cm 34.4085*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 90.8627*cm 84.8051*cm -0.1036253*rad 4.9155*cm 90.8627*cm 84.8051*cm -0.1036253*rad  | 
W_strip_18_16_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -2.5560058*cm 24.5775*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 96.9202*cm 90.8627*cm -0.1036253*rad 4.9155*cm 96.9202*cm 90.8627*cm -0.1036253*rad  | 
W_strip_18_17_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -1.5336035*cm 14.7465*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 102.9777*cm 96.9202*cm -0.1036253*rad 4.9155*cm 102.9777*cm 96.9202*cm -0.1036253*rad  | 
W_strip_18_18_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | -0.5112011*cm 4.9155*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 109.0352*cm 102.9777*cm -0.1036253*rad 4.9155*cm 109.0352*cm 102.9777*cm -0.1036253*rad  | 
W_strip_18_19_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 0.5112*cm -4.915501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 115.0927*cm 109.0352*cm -0.1036253*rad 4.9155*cm 115.0927*cm 109.0352*cm -0.1036253*rad  | 
W_strip_18_20_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 1.5336*cm -14.746501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 121.1502*cm 115.0927*cm -0.1036253*rad 4.9155*cm 121.1502*cm 115.0927*cm -0.1036253*rad  | 
W_strip_18_21_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 2.556*cm -24.577501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 127.2077*cm 121.1502*cm -0.1036253*rad 4.9155*cm 127.2077*cm 121.1502*cm -0.1036253*rad  | 
W_strip_18_22_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 3.5784*cm -34.408501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 133.2652*cm 127.2077*cm -0.1036253*rad 4.9155*cm 133.2652*cm 127.2077*cm -0.1036253*rad  | 
W_strip_18_23_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 4.6008*cm -44.239501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 139.3227*cm 133.2652*cm -0.1036253*rad 4.9155*cm 139.3227*cm 133.2652*cm -0.1036253*rad  | 
W_strip_18_24_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 5.6232*cm -54.070501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 145.3802*cm 139.3227*cm -0.1036253*rad 4.9155*cm 145.3802*cm 139.3227*cm -0.1036253*rad  | 
W_strip_18_25_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 6.6456*cm -63.901501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 151.4378*cm 145.3802*cm -0.1036253*rad 4.9155*cm 151.4378*cm 145.3802*cm -0.1036253*rad  | 
W_strip_18_26_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 7.668*cm -73.732501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 157.4953*cm 151.4378*cm -0.1036253*rad 4.9155*cm 157.4953*cm 151.4378*cm -0.1036253*rad  | 
W_strip_18_27_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 8.6904*cm -83.563501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 163.5528*cm 157.4953*cm -0.1036253*rad 4.9155*cm 163.5528*cm 157.4953*cm -0.1036253*rad  | 
W_strip_18_28_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 9.7128*cm -93.394501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 169.6103*cm 163.5528*cm -0.1036253*rad 4.9155*cm 169.6103*cm 163.5528*cm -0.1036253*rad  | 
W_strip_18_29_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 10.7352*cm -103.225501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 175.6678*cm 169.6103*cm -0.1036253*rad 4.9155*cm 175.6678*cm 169.6103*cm -0.1036253*rad  | 
W_strip_18_30_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 11.7576*cm -113.056501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 181.7253*cm 175.6678*cm -0.1036253*rad 4.9155*cm 181.7253*cm 175.6678*cm -0.1036253*rad  | 
W_strip_18_31_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 12.78*cm -122.887501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 187.7828*cm 181.7253*cm -0.1036253*rad 4.9155*cm 187.7828*cm 181.7253*cm -0.1036253*rad  | 
W_strip_18_32_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 13.8024*cm -132.718501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 193.8403*cm 187.7828*cm -0.1036253*rad 4.9155*cm 193.8403*cm 187.7828*cm -0.1036253*rad  | 
W_strip_18_33_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 14.8248*cm -142.549501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 199.8978*cm 193.8403*cm -0.1036253*rad 4.9155*cm 199.8978*cm 193.8403*cm -0.1036253*rad  | 
W_strip_18_34_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 15.8472*cm -152.380501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 205.9554*cm 199.8978*cm -0.1036253*rad 4.9155*cm 205.9554*cm 199.8978*cm -0.1036253*rad  | 
W_strip_18_35_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 16.8696*cm -162.211501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 212.0129*cm 205.9554*cm -0.1036253*rad 4.9155*cm 212.0129*cm 205.9554*cm -0.1036253*rad  | 
W_strip_18_36_s3_stack_2 | W-scintillator_18_s3_view_3_stack_2 | 17.892*cm -172.042501*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.9155*cm 218.0704*cm 212.0129*cm -0.1036253*rad 4.9155*cm 218.0704*cm 212.0129*cm -0.1036253*rad  | 
