             ec_s1 |       fc | 232.6263*cm 0*cm 723.8662*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 26.7767*cm 0*rad 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad  | 
U_strip_1_28_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 98.477*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 143.3462*cm 148.6553*cm 0*rad 5.183*cm 143.3462*cm 148.6553*cm 0*rad  | 
U_strip_1_29_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 108.843*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 148.6553*cm 153.9644*cm 0*rad 5.183*cm 148.6553*cm 153.9644*cm 0*rad  | 
U_strip_1_30_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 119.209*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 153.9644*cm 159.2735*cm 0*rad 5.183*cm 153.9644*cm 159.2735*cm 0*rad  | 
U_strip_1_31_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 129.575*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 159.2735*cm 164.5826*cm 0*rad 5.183*cm 159.2735*cm 164.5826*cm 0*rad  | 
U_strip_1_32_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 139.941*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 164.5826*cm 169.8917*cm 0*rad 5.183*cm 164.5826*cm 169.8917*cm 0*rad  | 
U_strip_1_33_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 150.307*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 169.8917*cm 175.2009*cm 0*rad 5.183*cm 169.8917*cm 175.2009*cm 0*rad  | 
U_strip_1_34_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 160.673*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 175.2009*cm 180.51*cm 0*rad 5.183*cm 175.2009*cm 180.51*cm 0*rad  | 
U_strip_1_35_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 171.039*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 180.51*cm 185.8191*cm 0*rad 5.183*cm 180.51*cm 185.8191*cm 0*rad  | 
U_strip_1_36_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm 181.405*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 185.8191*cm 191.1282*cm 0*rad 5.183*cm 185.8191*cm 191.1282*cm 0*rad  | 
lead_2_s1_view_2_stack_1 |    ec_s1 | 0*cm 0.00856*cm -20.20965*cm | 0 0 0 |   G4Trap | 0.119*cm 0*rad 0*rad 186.9691*cm 0.000001*cm 191.5186*cm 0*rad 186.9691*cm 0.000001*cm 191.5186*cm 0*rad  | 
