PCAL_Lead_Layer_3_s3  |             pcal_s3  |Preshower Calorimeter lead layer 3  |                              0*cm 0*cm -5.6934*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_4_s3  |             pcal_s3  |Preshower Calorimeter lead layer 4  |                              0*cm 0*cm -4.4282*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     4   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_5_s3  |             pcal_s3  |Preshower Calorimeter lead layer 5  |                               0*cm 0*cm -3.163*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     5   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_6_s3  |             pcal_s3  |Preshower Calorimeter lead layer 6  |                              0*cm 0*cm -1.8978*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     6   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_7_s3  |             pcal_s3  |Preshower Calorimeter lead layer 7  |                              0*cm 0*cm -0.6326*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     7   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_8_s3  |             pcal_s3  |Preshower Calorimeter lead layer 8  |                               0*cm 0*cm 0.6326*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     8   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_9_s3  |             pcal_s3  |Preshower Calorimeter lead layer 9  |                               0*cm 0*cm 1.8978*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     9   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_10_s3  |             pcal_s3  |Preshower Calorimeter lead layer 10  |                                0*cm 0*cm 3.163*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    10   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_11_s3  |             pcal_s3  |Preshower Calorimeter lead layer 11  |                               0*cm 0*cm 4.4282*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    11   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_12_s3  |             pcal_s3  |Preshower Calorimeter lead layer 12  |                               0*cm 0*cm 5.6934*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    12   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
