panel1a_sector1_paddle_8  |         ftof_p1a_s1  |paddle 8 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm -60.825280*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   69.15*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 8 side manual 0 
panel1a_sector1_paddle_9  |         ftof_p1a_s1  |paddle 9 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm -45.618960*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   77.05*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 9 side manual 0 
panel1a_sector1_paddle_10  |         ftof_p1a_s1  |paddle 10 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm -30.412640*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                    85.0*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 10 side manual 0 
panel1a_sector1_paddle_11  |         ftof_p1a_s1  |paddle 11 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm -15.206320*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                    92.9*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 11 side manual 0 
panel1a_sector1_paddle_12  |         ftof_p1a_s1  |paddle 12 - Panel 1B - Sector 1  |               0.000000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                  100.85*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 12 side manual 0 
panel1a_sector1_paddle_13  |         ftof_p1a_s1  |paddle 13 - Panel 1B - Sector 1  |              0.000000*cm 0.000000*cm 15.206320*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   108.8*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 13 side manual 0 
panel1a_sector1_paddle_14  |         ftof_p1a_s1  |paddle 14 - Panel 1B - Sector 1  |              0.000000*cm 0.000000*cm 30.412640*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   116.7*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 14 side manual 0 
panel1a_sector1_paddle_15  |         ftof_p1a_s1  |paddle 15 - Panel 1B - Sector 1  |              0.000000*cm 0.000000*cm 45.618960*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                  124.65*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 15 side manual 0 
panel1a_sector1_paddle_16  |         ftof_p1a_s1  |paddle 16 - Panel 1B - Sector 1  |              0.000000*cm 0.000000*cm 60.825280*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                  132.55*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 16 side manual 0 
panel1a_sector1_paddle_17  |         ftof_p1a_s1  |paddle 17 - Panel 1B - Sector 1  |              0.000000*cm 0.000000*cm 76.031600*cm  |                                   0 0 0  | ff11aa   |                 Box  |                                   140.5*cm 2.54*cm 7.505*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 1 paddle manual 17 side manual 0 
