BMT_coverlay_Z_Layer2_Segment03  |                 BMT  |coverlay Z, Layer 2,  Segment 03  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -390*deg  |fff6004   |                Tube  |160.731*mm 160.781*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer2_Segment01  |                 BMT  |CuGround Z, Layer 2,  Segment 01  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -150*deg  |6666004   |                Tube  |160.781*mm 160.782584*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer2_Segment02  |                 BMT  |CuGround Z, Layer 2,  Segment 02  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -270*deg  |6666004   |                Tube  |160.781*mm 160.782584*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer2_Segment03  |                 BMT  |CuGround Z, Layer 2,  Segment 03  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -390*deg  |6666004   |                Tube  |160.781*mm 160.782584*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_Z_Layer2_Segment01  |                 BMT  |   PCB Z, Layer 2,  Segment 01  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -150*deg  |0000ff4   |                Tube  |160.782584*mm 160.882584*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_Z_Layer2_Segment02  |                 BMT  |   PCB Z, Layer 2,  Segment 02  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -270*deg  |0000ff4   |                Tube  |160.782584*mm 160.882584*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |               myFR4  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_Z_Layer2_Segment03  |                 BMT  |   PCB Z, Layer 2,  Segment 03  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -390*deg  |0000ff4   |                Tube  |160.782584*mm 160.882584*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |               myFR4  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
         FMT_Strips2  |                 FMT  |              Strips, Layer 2,  |                              0*mm 0*mm -18.839*mm  |                       0*deg 0*deg 0*deg  |3535404   |                Tube  |                 42.000*mm 185.000*mm 0.006*mm 0*deg 360*deg  |       myfmtMMStrips  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
         FMT_Kapton2  |                 FMT  |              Kapton, Layer 2,  |                              0*mm 0*mm -18.808*mm  |                       0*deg 0*deg 0*deg  |fff6004   |                Tube  |                 42.000*mm 185.000*mm 0.025*mm 0*deg 360*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
FMT_Resistiv_Strips2  |                 FMT  |     Resistiv Strips, Layer 2,  |                              0*mm 0*mm -18.773*mm  |                       0*deg 0*deg 0*deg  |0000004   |                Tube  |                  42.000*mm 185.000*mm 0.01*mm 0*deg 360*deg  |    myfmtResistPaste  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Gas12  |                 FMT  |                Gas1, Layer 2,  |                              0*mm 0*mm -18.699*mm  |                       0*deg 0*deg 0*deg  |e100002   |                Tube  |                 48.000*mm 193.000*mm 0.064*mm 0*deg 360*deg  |          myfmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Mesh2  |                 FMT  |                Mesh, Layer 2,  |                              0*mm 0*mm -18.626*mm  |                       0*deg 0*deg 0*deg  |2520205   |                Tube  |                 39.000*mm 204.000*mm 0.009*mm 0*deg 360*deg  |         myfmtMMMesh  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Gas22  |                 FMT  |                Gas2, Layer 2,  |                              0*mm 0*mm -16.053*mm  |                       0*deg 0*deg 0*deg  |e100002   |                Tube  |                   39.000*mm 195.000*mm 2.5*mm 0*deg 360*deg  |          myfmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                 fmt  |                 fmt  |superlayer manual 2 type manual 1 segment manual 1 strip manual 1 
BMT_DriftCuElectrode_Z_Layer2_Segment01  |                 BMT  |DriftCuElectrode Z, Layer 2,  Segment 01  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -150*deg  |6666004   |                Tube  |164.135584*mm 164.135704*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_Z_Layer2_Segment02  |                 BMT  |DriftCuElectrode Z, Layer 2,  Segment 02  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -270*deg  |6666004   |                Tube  |164.135584*mm 164.135704*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_Z_Layer2_Segment03  |                 BMT  |DriftCuElectrode Z, Layer 2,  Segment 03  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -390*deg  |6666004   |                Tube  |164.135584*mm 164.135704*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_Z_Layer2_Segment01  |                 BMT  |DriftKapton Z, Layer 2,  Segment 01  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -150*deg  |fff6004   |                Tube  |164.135704*mm 164.385704*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_Z_Layer2_Segment02  |                 BMT  |DriftKapton Z, Layer 2,  Segment 02  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -270*deg  |fff6004   |                Tube  |164.135704*mm 164.385704*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_Z_Layer2_Segment03  |                 BMT  |DriftKapton Z, Layer 2,  Segment 03  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -390*deg  |fff6004   |                Tube  |164.135704*mm 164.385704*mm 186.375*mm 3.56469999646994*deg 112.87060000706*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
