           paddle_27  |                ctof  |Central TOF Scintillator number 27  |                         -25.705*cm -6.888*cm 0*cm  |                    90*deg 285*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 27 
           paddle_28  |                ctof  |Central TOF Scintillator number 28  |                        -24.586*cm -10.184*cm 0*cm  |                  90*deg 292.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 28 
           paddle_29  |                ctof  |Central TOF Scintillator number 29  |                        -23.046*cm -13.306*cm 0*cm  |                    90*deg 300*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 29 
           paddle_30  |                ctof  |Central TOF Scintillator number 30  |                        -21.112*cm -16.200*cm 0*cm  |                  90*deg 307.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 30 
           paddle_31  |                ctof  |Central TOF Scintillator number 31  |                        -18.817*cm -18.817*cm 0*cm  |                    90*deg 315*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 31 
           paddle_32  |                ctof  |Central TOF Scintillator number 32  |                        -16.200*cm -21.112*cm 0*cm  |                  90*deg 322.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 32 
           paddle_33  |                ctof  |Central TOF Scintillator number 33  |                        -13.306*cm -23.046*cm 0*cm  |                    90*deg 330*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 33 
           paddle_34  |                ctof  |Central TOF Scintillator number 34  |                        -10.184*cm -24.586*cm 0*cm  |                  90*deg 337.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 34 
           paddle_35  |                ctof  |Central TOF Scintillator number 35  |                         -6.888*cm -25.705*cm 0*cm  |                    90*deg 345*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 35 
           paddle_36  |                ctof  |Central TOF Scintillator number 36  |                         -3.473*cm -26.384*cm 0*cm  |                  90*deg 352.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 36 
           paddle_37  |                ctof  |Central TOF Scintillator number 37  |                         -0.000*cm -26.611*cm 0*cm  |                    90*deg 360*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 37 
           paddle_38  |                ctof  |Central TOF Scintillator number 38  |                          3.473*cm -26.384*cm 0*cm  |                  90*deg 367.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 38 
           paddle_39  |                ctof  |Central TOF Scintillator number 39  |                          6.888*cm -25.705*cm 0*cm  |                    90*deg 375*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 39 
           paddle_40  |                ctof  |Central TOF Scintillator number 40  |                         10.184*cm -24.586*cm 0*cm  |                  90*deg 382.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 40 
           paddle_41  |                ctof  |Central TOF Scintillator number 41  |                         13.306*cm -23.046*cm 0*cm  |                    90*deg 390*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 41 
           paddle_42  |                ctof  |Central TOF Scintillator number 42  |                         16.200*cm -21.112*cm 0*cm  |                  90*deg 397.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 42 
           paddle_43  |                ctof  |Central TOF Scintillator number 43  |                         18.817*cm -18.817*cm 0*cm  |                    90*deg 405*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 43 
           paddle_44  |                ctof  |Central TOF Scintillator number 44  |                         21.112*cm -16.200*cm 0*cm  |                  90*deg 412.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 44 
           paddle_45  |                ctof  |Central TOF Scintillator number 45  |                         23.046*cm -13.306*cm 0*cm  |                    90*deg 420*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 45 
           paddle_46  |                ctof  |Central TOF Scintillator number 46  |                         24.586*cm -10.184*cm 0*cm  |                  90*deg 427.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 46 
           paddle_47  |                ctof  |Central TOF Scintillator number 47  |                          25.705*cm -6.888*cm 0*cm  |                    90*deg 435*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 47 
           paddle_48  |                ctof  |Central TOF Scintillator number 48  |                          26.384*cm -3.473*cm 0*cm  |                  90*deg 442.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 48 
