               svt |     none|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
sensorPhysical1_m1_s11_r2 |      svt|   9.0565*cm   2.0671*cm -12.5403*cm| ordered: zyx  -282.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s11_r2 |      svt|   9.0565*cm   2.0671*cm  -1.3666*cm| ordered: zyx  -282.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s11_r2 |      svt|   9.0565*cm   2.0671*cm   9.8071*cm| ordered: zyx  -282.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s11_r2 |      svt|   9.3960*cm   2.1446*cm -12.5403*cm| ordered: zyx  -282.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s11_r2 |      svt|   9.3960*cm   2.1446*cm  -1.3666*cm| ordered: zyx  -282.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s11_r2 |      svt|   9.3960*cm   2.1446*cm   9.8071*cm| ordered: zyx  -282.8571*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s12_r2 |      svt|   9.0565*cm  -2.0671*cm -12.5403*cm| ordered: zyx  -257.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s12_r2 |      svt|   9.0565*cm  -2.0671*cm  -1.3666*cm| ordered: zyx  -257.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s12_r2 |      svt|   9.0565*cm  -2.0671*cm   9.8071*cm| ordered: zyx  -257.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s12_r2 |      svt|   9.3960*cm  -2.1446*cm -12.5403*cm| ordered: zyx  -257.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s12_r2 |      svt|   9.3960*cm  -2.1446*cm  -1.3666*cm| ordered: zyx  -257.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s12_r2 |      svt|   9.3960*cm  -2.1446*cm   9.8071*cm| ordered: zyx  -257.1429*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s13_r2 |      svt|   7.2627*cm  -5.7918*cm -12.5403*cm| ordered: zyx  -231.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s13_r2 |      svt|   7.2627*cm  -5.7918*cm  -1.3666*cm| ordered: zyx  -231.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s13_r2 |      svt|   7.2627*cm  -5.7918*cm   9.8071*cm| ordered: zyx  -231.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s13_r2 |      svt|   7.5350*cm  -6.0089*cm -12.5403*cm| ordered: zyx  -231.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s13_r2 |      svt|   7.5350*cm  -6.0089*cm  -1.3666*cm| ordered: zyx  -231.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s13_r2 |      svt|   7.5350*cm  -6.0089*cm   9.8071*cm| ordered: zyx  -231.4286*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s14_r2 |      svt|   4.0305*cm  -8.3695*cm -12.5403*cm| ordered: zyx  -205.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s14_r2 |      svt|   4.0305*cm  -8.3695*cm  -1.3666*cm| ordered: zyx  -205.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s14_r2 |      svt|   4.0305*cm  -8.3695*cm   9.8071*cm| ordered: zyx  -205.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s14_r2 |      svt|   4.1816*cm  -8.6832*cm -12.5403*cm| ordered: zyx  -205.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s14_r2 |      svt|   4.1816*cm  -8.6832*cm  -1.3666*cm| ordered: zyx  -205.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s14_r2 |      svt|   4.1816*cm  -8.6832*cm   9.8071*cm| ordered: zyx  -205.7143*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s1_r3 |      svt|  -0.0000*cm -12.0324*cm  -8.6229*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s1_r3 |      svt|  -0.0000*cm -12.0324*cm   2.5508*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s1_r3 |      svt|  -0.0000*cm -12.0324*cm  13.7245*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s1_r3 |      svt|  -0.0000*cm -12.3806*cm  -8.6229*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s1_r3 |      svt|  -0.0000*cm -12.3806*cm   2.5508*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s1_r3 |      svt|  -0.0000*cm -12.3806*cm  13.7245*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s2_r3 |      svt|  -4.1153*cm -11.3068*cm  -8.6229*cm| ordered: zyx  -160.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s2_r3 |      svt|  -4.1153*cm -11.3068*cm   2.5508*cm| ordered: zyx  -160.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s2_r3 |      svt|  -4.1153*cm -11.3068*cm  13.7245*cm| ordered: zyx  -160.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s2_r3 |      svt|  -4.2344*cm -11.6340*cm  -8.6229*cm| ordered: zyx  -160.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s2_r3 |      svt|  -4.2344*cm -11.6340*cm   2.5508*cm| ordered: zyx  -160.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s2_r3 |      svt|  -4.2344*cm -11.6340*cm  13.7245*cm| ordered: zyx  -160.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s3_r3 |      svt|  -7.7343*cm  -9.2174*cm  -8.6229*cm| ordered: zyx  -140.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s3_r3 |      svt|  -7.7343*cm  -9.2174*cm   2.5508*cm| ordered: zyx  -140.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s3_r3 |      svt|  -7.7343*cm  -9.2174*cm  13.7245*cm| ordered: zyx  -140.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s3_r3 |      svt|  -7.9581*cm  -9.4841*cm  -8.6229*cm| ordered: zyx  -140.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s3_r3 |      svt|  -7.9581*cm  -9.4841*cm   2.5508*cm| ordered: zyx  -140.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s3_r3 |      svt|  -7.9581*cm  -9.4841*cm  13.7245*cm| ordered: zyx  -140.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s4_r3 |      svt| -10.4204*cm  -6.0162*cm  -8.6229*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s4_r3 |      svt| -10.4204*cm  -6.0162*cm   2.5508*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s4_r3 |      svt| -10.4204*cm  -6.0162*cm  13.7245*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s4_r3 |      svt| -10.7219*cm  -6.1903*cm  -8.6229*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s4_r3 |      svt| -10.7219*cm  -6.1903*cm   2.5508*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s4_r3 |      svt| -10.7219*cm  -6.1903*cm  13.7245*cm| ordered: zyx  -120.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s5_r3 |      svt| -11.8496*cm  -2.0894*cm  -8.6229*cm| ordered: zyx  -100.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s5_r3 |      svt| -11.8496*cm  -2.0894*cm   2.5508*cm| ordered: zyx  -100.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s5_r3 |      svt| -11.8496*cm  -2.0894*cm  13.7245*cm| ordered: zyx  -100.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s5_r3 |      svt| -12.1925*cm  -2.1499*cm  -8.6229*cm| ordered: zyx  -100.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s5_r3 |      svt| -12.1925*cm  -2.1499*cm   2.5508*cm| ordered: zyx  -100.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s5_r3 |      svt| -12.1925*cm  -2.1499*cm  13.7245*cm| ordered: zyx  -100.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s6_r3 |      svt| -11.8496*cm   2.0894*cm  -8.6229*cm| ordered: zyx  -80.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s6_r3 |      svt| -11.8496*cm   2.0894*cm   2.5508*cm| ordered: zyx  -80.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s6_r3 |      svt| -11.8496*cm   2.0894*cm  13.7245*cm| ordered: zyx  -80.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s6_r3 |      svt| -12.1925*cm   2.1499*cm  -8.6229*cm| ordered: zyx  -80.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s6_r3 |      svt| -12.1925*cm   2.1499*cm   2.5508*cm| ordered: zyx  -80.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s6_r3 |      svt| -12.1925*cm   2.1499*cm  13.7245*cm| ordered: zyx  -80.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s7_r3 |      svt| -10.4204*cm   6.0162*cm  -8.6229*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s7_r3 |      svt| -10.4204*cm   6.0162*cm   2.5508*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s7_r3 |      svt| -10.4204*cm   6.0162*cm  13.7245*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s7_r3 |      svt| -10.7219*cm   6.1903*cm  -8.6229*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s7_r3 |      svt| -10.7219*cm   6.1903*cm   2.5508*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s7_r3 |      svt| -10.7219*cm   6.1903*cm  13.7245*cm| ordered: zyx  -60.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s8_r3 |      svt|  -7.7343*cm   9.2174*cm  -8.6229*cm| ordered: zyx  -40.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s8_r3 |      svt|  -7.7343*cm   9.2174*cm   2.5508*cm| ordered: zyx  -40.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s8_r3 |      svt|  -7.7343*cm   9.2174*cm  13.7245*cm| ordered: zyx  -40.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s8_r3 |      svt|  -7.9581*cm   9.4841*cm  -8.6229*cm| ordered: zyx  -40.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s8_r3 |      svt|  -7.9581*cm   9.4841*cm   2.5508*cm| ordered: zyx  -40.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s8_r3 |      svt|  -7.9581*cm   9.4841*cm  13.7245*cm| ordered: zyx  -40.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s9_r3 |      svt|  -4.1153*cm  11.3068*cm  -8.6229*cm| ordered: zyx  -20.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s9_r3 |      svt|  -4.1153*cm  11.3068*cm   2.5508*cm| ordered: zyx  -20.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s9_r3 |      svt|  -4.1153*cm  11.3068*cm  13.7245*cm| ordered: zyx  -20.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s9_r3 |      svt|  -4.2344*cm  11.6340*cm  -8.6229*cm| ordered: zyx  -20.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s9_r3 |      svt|  -4.2344*cm  11.6340*cm   2.5508*cm| ordered: zyx  -20.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s9_r3 |      svt|  -4.2344*cm  11.6340*cm  13.7245*cm| ordered: zyx  -20.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s10_r3 |      svt|   0.0000*cm  12.0324*cm  -8.6229*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s10_r3 |      svt|   0.0000*cm  12.0324*cm   2.5508*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s10_r3 |      svt|   0.0000*cm  12.0324*cm  13.7245*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s10_r3 |      svt|   0.0000*cm  12.3806*cm  -8.6229*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s10_r3 |      svt|   0.0000*cm  12.3806*cm   2.5508*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s10_r3 |      svt|   0.0000*cm  12.3806*cm  13.7245*cm| ordered: zyx    0.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s11_r3 |      svt|   4.1153*cm  11.3068*cm  -8.6229*cm| ordered: zyx  -340.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s11_r3 |      svt|   4.1153*cm  11.3068*cm   2.5508*cm| ordered: zyx  -340.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s11_r3 |      svt|   4.1153*cm  11.3068*cm  13.7245*cm| ordered: zyx  -340.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s11_r3 |      svt|   4.2344*cm  11.6340*cm  -8.6229*cm| ordered: zyx  -340.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s11_r3 |      svt|   4.2344*cm  11.6340*cm   2.5508*cm| ordered: zyx  -340.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s11_r3 |      svt|   4.2344*cm  11.6340*cm  13.7245*cm| ordered: zyx  -340.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s12_r3 |      svt|   7.7343*cm   9.2174*cm  -8.6229*cm| ordered: zyx  -320.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s12_r3 |      svt|   7.7343*cm   9.2174*cm   2.5508*cm| ordered: zyx  -320.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s12_r3 |      svt|   7.7343*cm   9.2174*cm  13.7245*cm| ordered: zyx  -320.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s12_r3 |      svt|   7.9581*cm   9.4841*cm  -8.6229*cm| ordered: zyx  -320.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s12_r3 |      svt|   7.9581*cm   9.4841*cm   2.5508*cm| ordered: zyx  -320.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s12_r3 |      svt|   7.9581*cm   9.4841*cm  13.7245*cm| ordered: zyx  -320.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s13_r3 |      svt|  10.4204*cm   6.0162*cm  -8.6229*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s13_r3 |      svt|  10.4204*cm   6.0162*cm   2.5508*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s13_r3 |      svt|  10.4204*cm   6.0162*cm  13.7245*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s13_r3 |      svt|  10.7219*cm   6.1903*cm  -8.6229*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s13_r3 |      svt|  10.7219*cm   6.1903*cm   2.5508*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s13_r3 |      svt|  10.7219*cm   6.1903*cm  13.7245*cm| ordered: zyx  -300.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s14_r3 |      svt|  11.8496*cm   2.0894*cm  -8.6229*cm| ordered: zyx  -280.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s14_r3 |      svt|  11.8496*cm   2.0894*cm   2.5508*cm| ordered: zyx  -280.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s14_r3 |      svt|  11.8496*cm   2.0894*cm  13.7245*cm| ordered: zyx  -280.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s14_r3 |      svt|  12.1925*cm   2.1499*cm  -8.6229*cm| ordered: zyx  -280.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s14_r3 |      svt|  12.1925*cm   2.1499*cm   2.5508*cm| ordered: zyx  -280.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s14_r3 |      svt|  12.1925*cm   2.1499*cm  13.7245*cm| ordered: zyx  -280.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s15_r3 |      svt|  11.8496*cm  -2.0894*cm  -8.6229*cm| ordered: zyx  -260.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s15_r3 |      svt|  11.8496*cm  -2.0894*cm   2.5508*cm| ordered: zyx  -260.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s15_r3 |      svt|  11.8496*cm  -2.0894*cm  13.7245*cm| ordered: zyx  -260.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s15_r3 |      svt|  12.1925*cm  -2.1499*cm  -8.6229*cm| ordered: zyx  -260.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s15_r3 |      svt|  12.1925*cm  -2.1499*cm   2.5508*cm| ordered: zyx  -260.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s15_r3 |      svt|  12.1925*cm  -2.1499*cm  13.7245*cm| ordered: zyx  -260.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s16_r3 |      svt|  10.4204*cm  -6.0162*cm  -8.6229*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s16_r3 |      svt|  10.4204*cm  -6.0162*cm   2.5508*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s16_r3 |      svt|  10.4204*cm  -6.0162*cm  13.7245*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s16_r3 |      svt|  10.7219*cm  -6.1903*cm  -8.6229*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s16_r3 |      svt|  10.7219*cm  -6.1903*cm   2.5508*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s16_r3 |      svt|  10.7219*cm  -6.1903*cm  13.7245*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s17_r3 |      svt|   7.7343*cm  -9.2174*cm  -8.6229*cm| ordered: zyx  -220.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s17_r3 |      svt|   7.7343*cm  -9.2174*cm   2.5508*cm| ordered: zyx  -220.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
