         ahdc_mother  |                root  |                  Alert mother  |                              0.0*mm 0.0*mm 0.0*mm  |                                   0 0 0  | aa00ff   |                Tube  |                      2.5*cm 21.0*cm 20.0*cm 0.*deg 360.*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
superlayer0_layer0_ahdccell11_subcell1  |         ahdc_mother  |         AHDCcell 11 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -33.073795*mm      -7.881885*mm     -33.526389*mm      -5.655198*mm     -29.582108*mm      -4.989881*mm     -29.182760*mm      -6.954605*mm     -33.774964*mm       3.905355*mm     -33.438692*mm       6.152552*mm     -29.504728*mm       5.428723*mm     -29.801439*mm       3.445901*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 11 side manual 0 
superlayer0_layer0_ahdccell11_subcell2  |         ahdc_mother  |         AHDCcell 11 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -29.182760*mm      -6.954605*mm     -28.653075*mm      -8.888267*mm     -32.473485*mm     -10.073370*mm     -33.073795*mm      -7.881885*mm     -29.801439*mm       3.445901*mm     -29.965050*mm       1.447689*mm     -33.960390*mm       1.640715*mm     -33.774964*mm       3.905355*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 11 side manual 0 
superlayer0_layer0_ahdccell12_subcell1  |         ahdc_mother  |         AHDCcell 12 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -33.829246*mm      -3.403254*mm     -33.981013*mm      -1.136109*mm     -29.983247*mm      -1.002449*mm     -29.849334*mm      -3.002871*mm     -32.953074*mm       8.372271*mm     -32.320280*mm      10.554598*mm     -28.517894*mm       9.312880*mm     -29.076242*mm       7.387298*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 12 side manual 0 
superlayer0_layer0_ahdccell12_subcell2  |         ahdc_mother  |         AHDCcell 12 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -29.849334*mm      -3.002871*mm     -29.582108*mm      -4.989881*mm     -33.526389*mm      -5.655198*mm     -33.829246*mm      -3.403254*mm     -29.076242*mm       7.387298*mm     -29.504728*mm       5.428723*mm     -33.438692*mm       6.152552*mm     -32.953074*mm       8.372271*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 12 side manual 0 
superlayer0_layer0_ahdccell13_subcell1  |         ahdc_mother  |         AHDCcell 13 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -33.981013*mm       1.136109*mm     -33.829246*mm       3.403254*mm     -29.849334*mm       3.002871*mm     -29.983247*mm       1.002449*mm     -31.543135*mm      12.689784*mm     -30.625111*mm      14.768296*mm     -27.022157*mm      13.030849*mm     -27.832178*mm      11.196869*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 13 side manual 0 
superlayer0_layer0_ahdccell13_subcell2  |         ahdc_mother  |         AHDCcell 13 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -29.983247*mm       1.002449*mm     -29.983247*mm      -1.002449*mm     -33.981013*mm      -1.136109*mm     -33.981013*mm       1.136109*mm     -27.832178*mm      11.196869*mm     -28.517894*mm       9.312880*mm     -32.320280*mm      10.554598*mm     -31.543135*mm      12.689784*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 13 side manual 0 
superlayer0_layer0_ahdccell14_subcell1  |         ahdc_mother  |         AHDCcell 14 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -33.526389*mm       5.655198*mm     -33.073795*mm       7.881885*mm     -29.182760*mm       6.954605*mm     -29.582108*mm       4.989881*mm     -29.570308*mm      16.780848*mm     -28.383437*mm      18.718453*mm     -25.044209*mm      16.516282*mm     -26.091449*mm      14.806631*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 14 side manual 0 
superlayer0_layer0_ahdccell14_subcell2  |         ahdc_mother  |         AHDCcell 14 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -29.582108*mm       4.989881*mm     -29.849334*mm       3.002871*mm     -33.829246*mm       3.403254*mm     -33.526389*mm       5.655198*mm     -26.091449*mm      14.806631*mm     -27.022157*mm      13.030849*mm     -30.625111*mm      14.768296*mm     -29.570308*mm      16.780848*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 14 side manual 0 
superlayer0_layer0_ahdccell15_subcell1  |         ahdc_mother  |         AHDCcell 15 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -32.473485*mm      10.073370*mm     -31.728141*mm      12.219864*mm     -27.995418*mm      10.782233*mm     -28.653075*mm       8.888267*mm     -27.069799*mm      20.572457*mm     -25.635260*mm      22.334580*mm     -22.619347*mm      19.706982*mm     -23.885117*mm      18.152168*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 15 side manual 0 
superlayer0_layer0_ahdccell15_subcell2  |         ahdc_mother  |         AHDCcell 15 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |150.0000*mm     -28.653075*mm       8.888267*mm     -29.182760*mm       6.954605*mm     -33.073795*mm       7.881885*mm     -32.473485*mm      10.073370*mm     -23.885117*mm      18.152168*mm     -25.044209*mm      16.516282*mm     -28.383437*mm      18.718453*mm     -27.069799*mm      20.572457*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |              alrtdc  |              alrtdc  |superlayer manual 0 layer manual 0 ahdccell manual 15 side manual 0 
