               mucal  |                root  |muon calorimeter mother volume  |                                             0 0 0  |                                   0 0 0  | a50021   |            Polycone  |0.0*deg 360*deg 2*counts 69.6707365417428*mm 69.6707365417428*mm 350.410161513775*mm 465.8802153517*mm 599.9*mm 800.1*mm  |              Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
        crystal_3_20  |               mucal  |    crystal volume (h:3, v:20)  |                       -305.5*mm -84.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 20 
        crystal_3_21  |               mucal  |    crystal volume (h:3, v:21)  |                       -305.5*mm -71.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 21 
        crystal_3_22  |               mucal  |    crystal volume (h:3, v:22)  |                       -305.5*mm -58.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 22 
        crystal_3_23  |               mucal  |    crystal volume (h:3, v:23)  |                       -305.5*mm -45.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 23 
        crystal_3_24  |               mucal  |    crystal volume (h:3, v:24)  |                       -305.5*mm -32.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 24 
        crystal_3_25  |               mucal  |    crystal volume (h:3, v:25)  |                       -305.5*mm -19.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 25 
        crystal_3_26  |               mucal  |    crystal volume (h:3, v:26)  |                        -305.5*mm -6.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 26 
        crystal_3_27  |               mucal  |    crystal volume (h:3, v:27)  |                         -305.5*mm 6.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 27 
        crystal_3_28  |               mucal  |    crystal volume (h:3, v:28)  |                        -305.5*mm 19.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 28 
        crystal_3_29  |               mucal  |    crystal volume (h:3, v:29)  |                        -305.5*mm 32.5*mm 700.1*mm  |                                   0 0 0  | 838EDE   |                 Box  |                                        6.5*mm 6.5*mm 100*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 29 
