             board_5  |                rtpc  |                       board_5  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 40*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_6  |                rtpc  |                       board_6  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 48*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_7  |                rtpc  |                       board_7  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 56*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_8  |                rtpc  |                       board_8  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 64*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_9  |                rtpc  |                       board_9  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 72*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_10  |                rtpc  |                      board_10  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 80*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_11  |                rtpc  |                      board_11  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 88*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_12  |                rtpc  |                      board_12  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 96*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_13  |                rtpc  |                      board_13  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 104*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_14  |                rtpc  |                      board_14  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 112*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_15  |                rtpc  |                      board_15  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 120*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_16  |                rtpc  |                      board_16  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 128*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_17  |                rtpc  |                      board_17  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 136*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_18  |                rtpc  |                      board_18  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 144*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_19  |                rtpc  |                      board_19  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 152*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_20  |                rtpc  |                      board_20  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 160*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_21  |                rtpc  |                      board_21  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 168*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_22  |                rtpc  |                      board_22  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 176*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_23  |                rtpc  |                      board_23  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 184*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_24  |                rtpc  |                      board_24  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 192*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_25  |                rtpc  |                      board_25  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 200*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_26  |                rtpc  |                      board_26  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 208*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_27  |                rtpc  |                      board_27  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 216*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_28  |                rtpc  |                      board_28  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 224*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_29  |                rtpc  |                      board_29  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 232*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_30  |                rtpc  |                      board_30  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 240*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_31  |                rtpc  |                      board_31  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 248*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_32  |                rtpc  |                      board_32  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 256*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_33  |                rtpc  |                      board_33  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 264*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_34  |                rtpc  |                      board_34  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 272*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_35  |                rtpc  |                      board_35  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 280*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_36  |                rtpc  |                      board_36  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 288*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_37  |                rtpc  |                      board_37  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 296*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_38  |                rtpc  |                      board_38  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 304*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_39  |                rtpc  |                      board_39  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 312*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_40  |                rtpc  |                      board_40  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 320*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_41  |                rtpc  |                      board_41  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 328*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_42  |                rtpc  |                      board_42  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 336*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_43  |                rtpc  |                      board_43  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 344*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_44  |                rtpc  |                      board_44  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 352*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
               cir_0  |                rtpc  |                         cir_0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 000000   |                Tube  |    84.2796*mm 122.3796*mm 200*mm 0*deg 2.22417084679285*deg  |   protectionCircuit  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
               cir_1  |                rtpc  |                         cir_1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 000000   |                Tube  |    84.2796*mm 122.3796*mm 200*mm 8*deg 2.22417084679285*deg  |   protectionCircuit  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
               cir_2  |                rtpc  |                         cir_2  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 000000   |                Tube  |   84.2796*mm 122.3796*mm 200*mm 16*deg 2.22417084679285*deg  |   protectionCircuit  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
               cir_3  |                rtpc  |                         cir_3  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 000000   |                Tube  |   84.2796*mm 122.3796*mm 200*mm 24*deg 2.22417084679285*deg  |   protectionCircuit  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
               cir_4  |                rtpc  |                         cir_4  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 000000   |                Tube  |   84.2796*mm 122.3796*mm 200*mm 32*deg 2.22417084679285*deg  |   protectionCircuit  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
               cir_5  |                rtpc  |                         cir_5  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 000000   |                Tube  |   84.2796*mm 122.3796*mm 200*mm 40*deg 2.22417084679285*deg  |   protectionCircuit  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
               cir_6  |                rtpc  |                         cir_6  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 000000   |                Tube  |   84.2796*mm 122.3796*mm 200*mm 48*deg 2.22417084679285*deg  |   protectionCircuit  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
