            bst_sl_1  |                root  |                 Super Layer 1  |                                  0*cm 0*cm -50*mm  |                                   0 0 0  | aaaaff   |                Tube  |                            60*mm 75*mm 325*mm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
si_V_Layer1_Module2_Segment04  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 2, Segment 4  |          62.090*mm 20.174*mm -2.30649999999999*mm  |                      0*deg 0*deg 72*deg  | 404045   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     4   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 4 module manual 2 strip manual 1 
si_V_Layer1_Module2_Segment05  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 2, Segment 5  |          38.374*mm 52.817*mm -2.30649999999999*mm  |                      0*deg 0*deg 36*deg  | 404045   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     5   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 5 module manual 2 strip manual 1 
si_V_Layer1_Module2_Segment06  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 2, Segment 6  |           0.000*mm 65.285*mm -2.30649999999999*mm  |                       0*deg 0*deg 0*deg  | 404045   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     6   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 6 module manual 2 strip manual 1 
si_V_Layer1_Module2_Segment07  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 2, Segment 7  |         -38.374*mm 52.817*mm -2.30649999999999*mm  |                     0*deg 0*deg -36*deg  | 404045   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     7   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 7 module manual 2 strip manual 1 
si_V_Layer1_Module2_Segment08  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 2, Segment 8  |         -62.090*mm 20.174*mm -2.30649999999999*mm  |                     0*deg 0*deg -72*deg  | 404045   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     8   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 8 module manual 2 strip manual 1 
si_V_Layer1_Module2_Segment09  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 2, Segment 9  |        -62.090*mm -20.174*mm -2.30649999999999*mm  |                    0*deg 0*deg -108*deg  | 404045   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     9   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 9 module manual 2 strip manual 1 
si_V_Layer1_Module2_Segment10  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 2, Segment 10  |        -38.374*mm -52.817*mm -2.30649999999999*mm  |                    0*deg 0*deg -144*deg  | 404045   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |    10   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 10 module manual 2 strip manual 1 
si_V_Layer1_Module3_Segment01  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 3, Segment 1  |                  -0.000*mm -65.285*mm 109.4305*mm  |                     0*deg 0*deg 180*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 1 module manual 3 strip manual 1 
si_V_Layer1_Module3_Segment02  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 3, Segment 2  |                  38.374*mm -52.817*mm 109.4305*mm  |                     0*deg 0*deg 144*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 2 module manual 3 strip manual 1 
si_V_Layer1_Module3_Segment03  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 3, Segment 3  |                  62.090*mm -20.174*mm 109.4305*mm  |                     0*deg 0*deg 108*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 3 module manual 3 strip manual 1 
si_V_Layer1_Module3_Segment04  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 3, Segment 4  |                   62.090*mm 20.174*mm 109.4305*mm  |                      0*deg 0*deg 72*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     4   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 4 module manual 3 strip manual 1 
si_V_Layer1_Module3_Segment05  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 3, Segment 5  |                   38.374*mm 52.817*mm 109.4305*mm  |                      0*deg 0*deg 36*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     5   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 5 module manual 3 strip manual 1 
si_V_Layer1_Module3_Segment06  |            bst_sl_1  |Barrel Silicon Tracker, Silicon V, Layer 1,  Module 3, Segment 6  |                    0.000*mm 65.285*mm 109.4305*mm  |                       0*deg 0*deg 0*deg  | 353540   |                 Box  |                                 21.01*mm 0.16*mm 55.8125*mm  |               G4_Si  |                  no  |     6   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 6 module manual 3 strip manual 1 
