             ec_s1 |       fc | 227.2889756*cm -0.752*cm 731.8939964*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 26.7767*cm 0*rad 0*rad 204.35336*cm 0.000001*cm 209.3246351*cm 0*rad 204.35336*cm 0.000001*cm 209.3246351*cm 0*rad  | 
U_strip_22_4_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -157.846419*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 16.7262695*cm 22.3016925*cm 0*rad 5.44298*cm 16.7262695*cm 22.3016925*cm 0*rad  | 
U_strip_22_5_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -146.960459*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 22.3016925*cm 27.8771155*cm 0*rad 5.44298*cm 22.3016925*cm 27.8771155*cm 0*rad  | 
U_strip_22_6_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -136.074499*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 27.8771155*cm 33.4525385*cm 0*rad 5.44298*cm 27.8771155*cm 33.4525385*cm 0*rad  | 
U_strip_22_7_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -125.188539*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 33.4525385*cm 39.0279615*cm 0*rad 5.44298*cm 33.4525385*cm 39.0279615*cm 0*rad  | 
U_strip_22_8_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -114.302579*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 39.0279615*cm 44.6033846*cm 0*rad 5.44298*cm 39.0279615*cm 44.6033846*cm 0*rad  | 
U_strip_22_9_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -103.416619*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 44.6033846*cm 50.1788076*cm 0*rad 5.44298*cm 44.6033846*cm 50.1788076*cm 0*rad  | 
U_strip_22_10_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -92.530659*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 50.1788076*cm 55.7542306*cm 0*rad 5.44298*cm 50.1788076*cm 55.7542306*cm 0*rad  | 
U_strip_22_11_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -81.644699*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 55.7542306*cm 61.3296536*cm 0*rad 5.44298*cm 55.7542306*cm 61.3296536*cm 0*rad  | 
U_strip_22_12_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -70.758739*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 61.3296536*cm 66.9050766*cm 0*rad 5.44298*cm 61.3296536*cm 66.9050766*cm 0*rad  | 
U_strip_22_13_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -59.872779*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 66.9050766*cm 72.4804996*cm 0*rad 5.44298*cm 66.9050766*cm 72.4804996*cm 0*rad  | 
U_strip_22_14_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -48.986819*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 72.4804996*cm 78.0559226*cm 0*rad 5.44298*cm 72.4804996*cm 78.0559226*cm 0*rad  | 
U_strip_22_15_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -38.100859*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 78.0559226*cm 83.6313456*cm 0*rad 5.44298*cm 78.0559226*cm 83.6313456*cm 0*rad  | 
U_strip_22_16_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -27.214899*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 83.6313456*cm 89.2067686*cm 0*rad 5.44298*cm 83.6313456*cm 89.2067686*cm 0*rad  | 
U_strip_22_17_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -16.328939*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 89.2067686*cm 94.7821916*cm 0*rad 5.44298*cm 89.2067686*cm 94.7821916*cm 0*rad  | 
U_strip_22_18_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm -5.442979*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 94.7821916*cm 100.3576146*cm 0*rad 5.44298*cm 94.7821916*cm 100.3576146*cm 0*rad  | 
U_strip_22_19_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm 5.442981*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 100.3576146*cm 105.9330376*cm 0*rad 5.44298*cm 100.3576146*cm 105.9330376*cm 0*rad  | 
U_strip_22_20_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm 16.328941*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 105.9330376*cm 111.5084606*cm 0*rad 5.44298*cm 105.9330376*cm 111.5084606*cm 0*rad  | 
U_strip_22_21_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm 27.214901*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 111.5084606*cm 117.0838836*cm 0*rad 5.44298*cm 111.5084606*cm 117.0838836*cm 0*rad  | 
U_strip_22_22_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm 38.100861*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 117.0838836*cm 122.6593066*cm 0*rad 5.44298*cm 117.0838836*cm 122.6593066*cm 0*rad  | 
U_strip_22_23_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm 48.986821*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 122.6593066*cm 128.2347296*cm 0*rad 5.44298*cm 122.6593066*cm 128.2347296*cm 0*rad  | 
U_strip_22_24_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm 59.872781*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 128.2347296*cm 133.8101526*cm 0*rad 5.44298*cm 128.2347296*cm 133.8101526*cm 0*rad  | 
U_strip_22_25_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm 70.758741*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 133.8101526*cm 139.3855756*cm 0*rad 5.44298*cm 133.8101526*cm 139.3855756*cm 0*rad  | 
U_strip_22_26_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm 81.644701*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 139.3855756*cm 144.9609986*cm 0*rad 5.44298*cm 139.3855756*cm 144.9609986*cm 0*rad  | 
U_strip_22_27_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm 92.530661*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 144.9609986*cm 150.5364216*cm 0*rad 5.44298*cm 144.9609986*cm 150.5364216*cm 0*rad  | 
U_strip_22_28_s4_stack_2 | U-scintillator_22_s4_view_1_stack_2 | 0*cm 103.416621*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.44298*cm 150.5364216*cm 156.1118446*cm 0*rad 5.44298*cm 150.5364216*cm 156.1118446*cm 0*rad  | 
