     pad0_m1_s1_r1 | epoxyAndRailAndPads_m1_s1_r1 | -0.6*cm 0.0002*cm 17.0165*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad1_m1_s1_r1 | epoxyAndRailAndPads_m1_s1_r1 | -0.6*cm 0.0002*cm 17.0165*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad2_m1_s1_r1 | epoxyAndRailAndPads_m1_s1_r1 | -0.6*cm 0.0002*cm 12.9354*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad3_m1_s1_r1 | epoxyAndRailAndPads_m1_s1_r1 | -0.6*cm 0.0002*cm 8.8543*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad4_m1_s1_r1 | epoxyAndRailAndPads_m1_s1_r1 | -0.6*cm 0.0002*cm 5.8433*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad5_m1_s1_r1 | epoxyAndRailAndPads_m1_s1_r1 | -0.6*cm 0.0002*cm 1.7622*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad6_m1_s1_r1 | epoxyAndRailAndPads_m1_s1_r1 | -0.6*cm 0.0002*cm -2.3189*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad7_m1_s1_r1 | epoxyAndRailAndPads_m1_s1_r1 | -0.6*cm 0.0002*cm -5.3299*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad8_m1_s1_r1 | epoxyAndRailAndPads_m1_s1_r1 | -0.6*cm 0.0002*cm -9.411*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
   module_m2_s1_r1 | sector1_r1 | 0*cm -0.1741*cm 2.6152*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 16.75495*cm  | 
sensorPhysical1_m2_s1_r1 | module_m2_s1_r1 | 0*cm 0*cm -11.1737*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
sensorPhysical2_m2_s1_r1 | module_m2_s1_r1 | 0*cm 0*cm -0*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
sensorPhysical3_m2_s1_r1 | module_m2_s1_r1 | 0*cm 0*cm 11.1737*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
carbonFiber_m2_s1_r1 | sector1_r1 | 0*cm -0.1345*cm 0.82925*cm | 0 0 0 |      Box | 2.1*cm 0.0095*cm 20.082*cm  | 
