ECAL_6 | ECAL | ECAL Crystal (7,1) | 117.997079055*mm 27.3325*mm -67.4813340315*mm  | 0.00839288973435*rad -0.108476946828*rad -0.000908671636999*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 7 idy manual 1  
ECAL_7 | ECAL | ECAL Crystal (8,1) | 132.921004236*mm 27.3325*mm -67.6369351538*mm  | 0.00840934425961*rad -0.125165702153*rad -0.00104983967505*rad  | BBBBFF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 8 idy manual 1  
ECAL_8 | ECAL | ECAL Crystal (9,1) | 147.870791246*mm 27.3325*mm -67.8146410918*mm  | 0.00842821542141*rad -0.141854454999*rad -0.00119160187557*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 9 idy manual 1  
ECAL_9 | ECAL | ECAL Crystal (10,1) | 162.850012558*mm 27.3325*mm -68.0144023493*mm  | 0.00844953007787*rad -0.158543205019*rad -0.00133404150048*rad  | BBBBFF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 10 idy manual 1  
ECAL_10 | ECAL | ECAL Crystal (11,1) | 177.862288122*mm 27.3325*mm -68.2361632874*mm  | 0.00847331873817*rad -0.175231951859*rad -0.00147724336815*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 11 idy manual 1  
ECAL_11 | ECAL | ECAL Crystal (12,1) | 192.911291494*mm 27.3325*mm -68.4798621394*mm  | 0.0084996156705*rad -0.191920695158*rad -0.00162129406151*rad  | BBBBFF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 12 idy manual 1  
ECAL_12 | ECAL | ECAL Crystal (13,1) | 208.000756146*mm 27.3325*mm -68.7454310284*mm  | 0.00852845902437*rad -0.208609434546*rad -0.00176628214491*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 13 idy manual 1  
ECAL_13 | ECAL | ECAL Crystal (14,1) | 223.134481983*mm 27.3325*mm -69.0327959862*mm  | 0.00855989096816*rad -0.225298169645*rad -0.00191229839095*rad  | BBBBFF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 14 idy manual 1  
ECAL_14 | ECAL | ECAL Crystal (15,1) | 238.316342105*mm 27.3325*mm -69.3418769736*mm  | 0.00859395784284*rad -0.241986900066*rad -0.00205943601859*rad  | BBA7FF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 15 idy manual 1  
ECAL_15 | ECAL | ECAL Crystal (16,1) | 253.550289828*mm 27.3325*mm -69.672587903*mm  | 0.00863071033298*rad -0.258675625408*rad -0.00220779094396*rad  | BBBBFF | Trd | 6.665*mm 8.0*mm 6.665*mm 8.0*mm 80.0*mm  | Lead | no | 1 | 1 | 1 | 1 | 1 | ECAL | ECAL | idx manual 16 idy manual 1  
