           RICH_s4 |       fc | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_302_component_3 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_302_component_4 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_302_component_5 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_302_component_6 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_302_component_7 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_302_component_8 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_302_component_9 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_302_component_10 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
         MAPMT_0_0 |  RICH_s4 | -44.052953*cm 13.25*cm 695.0983587*cm | ordered: yzx 0*deg -90*deg 25*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_0_0 | MAPMT_0_0 | 2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_0_0 | MAPMT_0_0 | -2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_0_0 | MAPMT_0_0 | 0*cm 2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_0_0 | MAPMT_0_0 | 0*cm -2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_0_0 | MAPMT_0_0 | 0*cm 0*cm -1.275*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.075*cm  | 
Photocathode_MAPMT_0_0 | MAPMT_0_0 | 0*cm 0*cm -1.195*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005*cm  | 
  Socket_MAPMT_0_0 | MAPMT_0_0 | 0*cm 0*cm 1.215*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_0_1 |  RICH_s4 | -44.052953*cm 7.95*cm 695.0983587*cm | ordered: yzx 0*deg -90*deg 25*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_0_1 | MAPMT_0_1 | 2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_0_1 | MAPMT_0_1 | -2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_0_1 | MAPMT_0_1 | 0*cm 2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_0_1 | MAPMT_0_1 | 0*cm -2.55*cm 0*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_0_1 | MAPMT_0_1 | 0*cm 0*cm -1.275*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.075*cm  | 
Photocathode_MAPMT_0_1 | MAPMT_0_1 | 0*cm 0*cm -1.195*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005*cm  | 
  Socket_MAPMT_0_1 | MAPMT_0_1 | 0*cm 0*cm 1.215*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_0_2 |  RICH_s4 | -44.052953*cm 2.65*cm 695.0983587*cm | ordered: yzx 0*deg -90*deg 25*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_0_2 | MAPMT_0_2 | 2.55*cm 0*cm 0*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
